Status,email,Interested in Liquid Soap,Interested In Soap Bars,Sign-up Date,Unsubscribe Date,Liquid Sales to Date,Bar Sales to Date
Subscribed,kmanzell24@hugedomains.com,1,1,25/05/2016,,3658,1705
Subscribed,glytlle26@chronoengine.com,0,1,15/05/2018,,3844,2924
Subscribed,aallso29@unblog.fr,0,1,01/03/2016,,277,1814
Subscribed,vcrampton2a@moonfruit.com,1,0,25/11/2017,,9829,4463
Subscribed,erushforth2b@diigo.com,1,0,18/03/2017,,3806,4467
Subscribed,tbagott2e@ow.ly,1,0,20/04/2018,,4352,4903
Subscribed,rflaherty2f@webeden.co.uk,1,0,14/01/2018,,5091,4754
Subscribed,eevreux2g@google.nl,1,0,22/06/2016,,5650,326
Subscribed,dsaladine2i@comsenz.com,0,1,29/07/2018,,4430,4946
Subscribed,bvosper2k@squarespace.com,1,0,14/06/2018,,4303,3185
Subscribed,nsarney2l@japanpost.jp,0,1,24/11/2017,,8591,4149
Subscribed,dfairleigh2m@hugedomains.com,0,1,08/03/2018,,1882,2733
Subscribed,rdeantoni2r@nature.com,1,1,27/06/2018,,1670,3563
Subscribed,fnardrup2s@pen.io,1,1,29/10/2017,,4249,4641
Subscribed,cleghorn2t@seattletimes.com,0,1,10/01/2016,,4784,3820
Subscribed,rbelsher30@comsenz.com,1,1,03/03/2018,,7692,4400
Subscribed,xrioch31@webs.com,0,1,01/05/2018,,861,1184
Subscribed,lgosneye32@ca.gov,1,1,07/08/2017,,7540,664
Subscribed,rmurrum3b@google.es,0,1,01/11/2018,,3065,179
Subscribed,cpervew3e@utexas.edu,1,0,01/11/2017,,4548,2461
Subscribed,imattiessen3f@engadget.com,1,1,11/10/2016,,4342,4827
Subscribed,ahearthfield3g@disqus.com,0,1,24/01/2017,,6772,185
Subscribed,mconeybeer3i@gmpg.org,1,1,14/01/2016,,1715,4576
Subscribed,htottie3j@google.cn,1,0,29/01/2017,,9599,4190
Subscribed,fabdee3l@google.com,1,1,17/07/2016,,3271,2133
Subscribed,covell3m@addtoany.com,1,0,19/01/2017,,4448,135
Subscribed,dduckerin3v@slate.com,0,1,03/07/2017,,9417,1427
Subscribed,amead3w@smugmug.com,1,1,04/02/2017,,5944,4325
Subscribed,dmcamish3y@yellowpages.com,1,1,02/06/2017,,8700,1989
Subscribed,efanthom41@goodreads.com,1,1,09/11/2018,,6366,8
Subscribed,bwelbelove45@cam.ac.uk,0,1,01/07/2016,,4251,923
Subscribed,vdelouch46@latimes.com,1,0,01/07/2017,,5990,1996
Subscribed,ghapke49@si.edu,1,0,06/01/2017,,593,2337
Subscribed,fcowdroy4c@odnoklassniki.ru,1,1,15/05/2018,,4999,3237
Subscribed,mshoebridge4d@dropbox.com,0,1,03/02/2018,,4276,3026
Subscribed,vlowe4f@miitbeian.gov.cn,0,1,11/07/2018,,670,1088
Subscribed,erodenhurst4h@csmonitor.com,1,0,13/07/2017,,2025,4014
Subscribed,hsouthwood4i@indiatimes.com,1,1,18/01/2016,,6667,4879
Subscribed,djenno4j@paypal.com,0,1,04/12/2017,,9069,3822
Subscribed,ghallmark4k@ft.com,1,1,24/02/2016,,6368,1905
Subscribed,tbachnic4l@tmall.com,1,0,28/11/2018,,9959,2100
Subscribed,bmarte4o@multiply.com,1,1,16/03/2017,,760,2624
Subscribed,scapini4q@boston.com,0,1,18/03/2018,,6823,2111
Subscribed,tratcliffe4u@wisc.edu,1,0,10/02/2017,,3592,4288
Subscribed,cvernon4y@simplemachines.org,0,1,16/04/2016,,3155,3264
Subscribed,slurriman4z@t.co,1,0,15/12/2018,,1378,1532
Subscribed,mdiver51@toplist.cz,1,1,16/01/2016,,7397,2785
Subscribed,tleetham53@flickr.com,1,0,29/03/2017,,6119,2991
Subscribed,kweavill54@addtoany.com,0,1,17/04/2018,,2432,4236
Subscribed,aspeariett55@whitehouse.gov,1,0,06/06/2017,,1863,2037
Subscribed,jbirkin56@jigsy.com,1,0,03/02/2017,,7771,4267
Subscribed,krolston57@timesonline.co.uk,0,1,14/04/2018,,7196,4989
Subscribed,mpates59@nifty.com,0,1,18/05/2016,,8537,2549
Subscribed,cchapman5a@csmonitor.com,0,1,22/03/2018,,418,592
Subscribed,rspillett5b@posterous.com,1,0,18/04/2017,,2617,17
Subscribed,wschoenrock5e@webmd.com,1,1,27/08/2018,,9665,612
Subscribed,ggotthardsf5f@webs.com,1,1,08/08/2016,,7939,1460
Subscribed,ressberger5g@dedecms.com,1,0,26/07/2018,,720,3097
