email,Liquid Sales to Date,Bar Sales to Date
aapple33@uiuc.edu,7548,2390
rscneider34@meetup.com,2304,4429
afaley35@tuttocitta.it,3529,750
lrouf36@bloglovin.com,9571,616
baverall37@woothemes.com,2944,3218
jvint38@guardian.co.uk,7964,749
dmuslim39@archive.org,251,964
dadger3a@gravatar.com,9201,3185
ddonneely3c@cisco.com,2436,4833
kscampion3d@domainmarket.com,2118,4205
ljosefsen3h@lycos.com,5649,4896
tplait3k@mayoclinic.com,1867,2709
bcockcroft3n@sfgate.com,5612,2406
cbortolomei3o@senate.gov,1938,4624
etyres3p@archive.org,2225,4701
csindell3q@noaa.gov,217,2642
rgabey3r@noaa.gov,4412,68
spavis3s@forbes.com,1854,899
fmenego3t@weebly.com,7532,4319
aclawsley3u@tinypic.com,2322,3295
gillyes3x@blogtalkradio.com,6018,1463
vharmer3z@creativecommons.org,6925,1312
fcatonne40@studiopress.com,7244,2690
ntewkesberry42@nationalgeographic.com,3318,327
rsleith43@tiny.cc,5260,2752
dmaes44@sfgate.com,9536,649
eaisman47@cnet.com,1491,1357
kbridgewood48@youtube.com,7160,4944
mwestphalen4a@printfriendly.com,3212,4387
oralphs4b@imageshack.us,1086,539
dgallgher4e@webnode.com,3772,2621
espradbery4g@51.la,9823,4383
mjagels4m@ifeng.com,3199,1600
akaret4n@51.la,2177,2857
gmcaloren4p@facebook.com,6351,3988
plathe4r@rediff.com,3460,1005
dtrinbey4s@ihg.com,2831,325
rzecchinii4t@sina.com.cn,1967,3814
dphipardshears4v@intel.com,8539,12
tdacosta4w@sfgate.com,9546,564
bartharg4x@dropbox.com,763,527
sstraker50@businessweek.com,9684,3701
bhanmer52@cnn.com,4681,3810
pshoemark58@skyrock.com,7979,4030
bargrave5c@bloglines.com,9943,2212
ggrogono5d@reference.com,9154,4221
rcornelissen5h@wix.com,6690,2509
cguiduzzi5i@plala.or.jp,8056,3454
bmatisoff5j@flickr.com,4873,1186
pvenart0@posterous.com,159,1723
erosedale2@google.com.hk,2019,3452
obowman3@hubpages.com,6943,422
fmacpadene4@behance.net,8937,1569
gearsman5@tinyurl.com,8873,600
cdestoop7@istockphoto.com,1624,1716
tdunsmorea@sbwire.com,845,781
kdenormanvillef@amazon.de,9449,378
etieryg@sina.com.cn,3328,1690
kgalbreathh@oracle.com,4139,3565
ibeagleyj@hhs.gov,4266,1421
lmottinellil@dailymail.co.uk,2059,981
mallenderm@apache.org,8690,435
ciianono@yelp.com,1791,679
cpatchings@w3.org,3147,4040
mjessonu@disqus.com,3412,2125
mbelsher10@flavors.me,1710,4173
smccaw11@biblegateway.com,819,724
jholworth13@com.com,8308,2083
rmcnerlin14@bluehost.com,704,2278
bfantin18@umich.edu,3036,2046
ofuzzens1a@is.gd,4167,1578
clowdyane1b@live.com,6761,201
gjob1c@adobe.com,9411,478
carnaudot1f@engadget.com,1266,4520
crodliff1g@google.ca,7055,3812
eorum1i@chronoengine.com,9683,891
mbackshall1k@state.tx.us,6082,4514
bjuares1n@harvard.edu,2649,2835
dcharlwood1p@engadget.com,6609,4306
ptortice1t@yellowpages.com,7594,250
jbrokenshaw1u@aol.com,1188,274
whollingdale1w@europa.eu,6061,1165
vbrewin1z@amazon.co.uk,5262,2796
croffe20@nhs.uk,5143,4052
mhanhart21@cam.ac.uk,8324,2187
kmanzell24@hugedomains.com,3658,1705
glytlle26@chronoengine.com,3844,2924
aallso29@unblog.fr,277,1814
vcrampton2a@moonfruit.com,9829,4463
erushforth2b@diigo.com,3806,4467
tbagott2e@ow.ly,4352,4903
rflaherty2f@webeden.co.uk,5091,4754
eevreux2g@google.nl,5650,326
dsaladine2i@comsenz.com,4430,4946
bvosper2k@squarespace.com,4303,3185
nsarney2l@japanpost.jp,8591,4149
dfairleigh2m@hugedomains.com,1882,2733
rdeantoni2r@nature.com,1670,3563
fnardrup2s@pen.io,4249,4641
cleghorn2t@seattletimes.com,4784,3820
rbelsher30@comsenz.com,7692,4400
xrioch31@webs.com,861,1184
lgosneye32@ca.gov,7540,664
rmurrum3b@google.es,3065,179
cpervew3e@utexas.edu,4548,2461
imattiessen3f@engadget.com,4342,4827
ahearthfield3g@disqus.com,6772,185
mconeybeer3i@gmpg.org,1715,4576
htottie3j@google.cn,9599,4190
fabdee3l@google.com,3271,2133
covell3m@addtoany.com,4448,135
dduckerin3v@slate.com,9417,1427
amead3w@smugmug.com,5944,4325
dmcamish3y@yellowpages.com,8700,1989
efanthom41@goodreads.com,6366,8
bwelbelove45@cam.ac.uk,4251,923
vdelouch46@latimes.com,5990,1996
ghapke49@si.edu,593,2337
fcowdroy4c@odnoklassniki.ru,4999,3237
mshoebridge4d@dropbox.com,4276,3026
vlowe4f@miitbeian.gov.cn,670,1088
erodenhurst4h@csmonitor.com,2025,4014
hsouthwood4i@indiatimes.com,6667,4879
djenno4j@paypal.com,9069,3822
ghallmark4k@ft.com,6368,1905
tbachnic4l@tmall.com,9959,2100
bmarte4o@multiply.com,760,2624
scapini4q@boston.com,6823,2111
tratcliffe4u@wisc.edu,3592,4288
cvernon4y@simplemachines.org,3155,3264
slurriman4z@t.co,1378,1532
mdiver51@toplist.cz,7397,2785
tleetham53@flickr.com,6119,2991
kweavill54@addtoany.com,2432,4236
aspeariett55@whitehouse.gov,1863,2037
jbirkin56@jigsy.com,7771,4267
krolston57@timesonline.co.uk,7196,4989
mpates59@nifty.com,8537,2549
cchapman5a@csmonitor.com,418,592
rspillett5b@posterous.com,2617,17
wschoenrock5e@webmd.com,9665,612
ggotthardsf5f@webs.com,7939,1460
ressberger5g@dedecms.com,720,3097
