email,Liquid,Bar,Sign-up Date
mdiver51@toplist.cz,1,1,16/01/2016
tleetham53@flickr.com,1,0,29/03/2017
kweavill54@addtoany.com,0,1,17/04/2018
aspeariett55@whitehouse.gov,1,0,06/06/2017
jbirkin56@jigsy.com,1,0,03/02/2017
krolston57@timesonline.co.uk,0,1,14/04/2018
mpates59@nifty.com,0,1,18/05/2016
cchapman5a@csmonitor.com,0,1,22/03/2018
rspillett5b@posterous.com,1,0,18/04/2017
wschoenrock5e@webmd.com,1,1,27/08/2018
ggotthardsf5f@webs.com,1,1,08/08/2016
ressberger5g@dedecms.com,1,0,26/07/2018
