% of Regional Sales,% of Total Sales,Region,Customer ID,First Name,Last Name,Sales,Order Date,Stock,Total Regional Sales,Total Sales
12.868600487,6.376211727,South,169,Cris,Brannigan,1648.94,07/03/2018,Aegon NV,12813.67,25860.81
37.431149715,25.261569583,South,181,Washington,McSkeagan,5789.3,30/01/2017,Meritage Corporation,15466.53,22917.42
30.234260950,30.234260950,South,192,Blanch,Durnell,2638.55,18/04/2019,La Quinta Holdings Inc.,8727.02,8727.02
18.000695219,9.917621948,South,194,Lyndell,Poundsford,1967.8,12/12/2017,Urstadt Biddle Properties Inc.,10931.8,19841.45
62.865899615,37.728665754,South,196,Vikky,Castelijn,9283.64,03/01/2017,Ares Management L.P.,14767.37,24606.33
19.042091899,19.042091899,South,197,Cybil,Degoy,3638.78,19/01/2017,"BofI Holding, Inc.",19109.14,19109.14
76.680143879,56.303817899,South,200,Wendi,Aiskovitch,9795.62,22/08/2018,"MetLife, Inc.",12774.65,17397.79
43.657617728,23.050088472,South,205,Owen,Grunnill,7137.37,28/01/2019,"Overstock.com, Inc.",16348.51,30964.61
52.087695579,52.087695579,South,207,Amery,Kunkel,9015.13,13/02/2018,Lincoln National Corporation,17307.6,17307.6
34.300603905,34.300603905,South,220,Sharla,Starte,5006.18,27/05/2016,"Pixelworks, Inc.",14595.02,14595.02
18.864576457,18.864576457,South,221,Deena,Strowlger,311.49,06/12/2018,MUELLER WATER PRODUCTS,1651.19,1651.19
20.481716509,20.481716509,South,226,Kathy,Howkins,292.1,05/09/2017,Nuveen Texas Quality Municipal Income Fund,1426.15,1426.15
51.331573452,45.829759172,South,237,Jocko,Beere,2772.87,27/08/2017,Anheuser-Busch Inbev SA,5401.88,6050.37
66.645594698,46.051494379,South,243,Brok,Gudger,5903.82,19/01/2018,"Cohen & Steers Global Income Builder, Inc.",8858.53,12820.04
92.019090821,92.019090821,South,249,Jazmin,Yurin,9805.95,03/02/2019,Neff Corporation,10656.43,10656.43
56.582082018,38.330889987,South,253,Maribelle,Biesinger,8709.38,03/12/2017,"Malvern Bancorp, Inc.",15392.47,22721.57
8.033808851,3.193305033,South,254,Thaddeus,Thake,1126.72,04/06/2017,EPR Properties,14024.73,35283.82
12.918457351,12.250643835,South,261,Gaspar,Claxton,1239.65,20/01/2017,Seaspan Corporation,9595.96,10119.06
66.528510703,66.528510703,South,263,Kristo,Powner,4200.69,18/02/2019,"PGT Innovations, Inc.",6314.12,6314.12
87.594524470,87.594524470,South,272,Carmelina,Metzing,9790.44,28/04/2019,Coca Cola Femsa S.A.B. de C.V.,11177,11177
33.471489297,33.471489297,South,274,Helyn,Compson,2113.43,30/04/2019,"PGT Innovations, Inc.",6314.12,6314.12
27.715697925,27.715697925,South,276,Ailsun,Donett,3750.2,26/09/2016,First Trust New Opportunities MLP & Energy Fund,13530.96,13530.96
33.364052107,23.471662702,South,278,Padraic,Chattoe,7128.52,04/03/2019,Lehman ABS Corporation,21365.87,30370.75
80.262573852,51.717026013,South,279,Dehlia,Oxterby,8733.78,15/02/2017,"Gulf Resources, Inc.",10881.51,16887.63
56.404388183,56.404388183,South,280,Fax,Marcq,9715.34,18/10/2016,Nuveen Select Tax Free Income Portfolio II,17224.44,17224.44
94.465807660,38.379223571,South,283,Hortense,Laker,5812.33,20/01/2019,Telecom Argentina Stet - France Telecom S.A.,6152.84,15144.47
35.493151423,28.002566421,South,297,Wallas,Backhurst,3360.63,14/10/2016,"Dynex Capital, Inc.",9468.39,12001.15
95.098827355,19.722470927,South,302,Elbert,Treffry,4696.37,02/11/2016,"AmTrust Financial Services, Inc.",4938.41,23812.28
46.176336599,25.623704971,South,310,Etti,Welsby,4074.72,06/05/2018,"M I Acquisitions, Inc.",8824.26,15902.15
65.699396095,65.699396095,South,311,Cass,Ballham,9588.84,31/10/2018,"Pixelworks, Inc.",14595.02,14595.02
15.268227326,6.400059421,South,315,Ellynn,Chilles,1688.84,23/07/2017,Allstate Corporation (The),11061.14,26387.88
46.007231512,18.287107235,South,319,Fenelia,Cattrell,6452.39,20/05/2018,EPR Properties,14024.73,35283.82
32.096705182,32.096705182,South,324,Carmita,Laugheran,3308.14,25/12/2016,"Southern First Bancshares, Inc.",10306.79,10306.79
23.944172830,10.295012001,South,327,Delilah,Clymo,6845.73,21/08/2018,J P Morgan Chase & Co,28590.38,66495.6
54.825313805,20.346074960,South,342,Stillman,Thurlby,3790.37,21/11/2017,GasLog LP.,6913.54,18629.49
7.980909179,7.980909179,South,347,Kacie,Houltham,850.48,11/09/2017,Neff Corporation,10656.43,10656.43
35.849500124,23.822991564,South,348,Eleanor,Lonie,5200.54,09/04/2019,Playa Hotels & Resorts N.V.,14506.59,21829.92
63.318592879,41.333636689,South,354,Bernita,Stittle,9955.69,09/09/2018,Amerco,15723.17,24086.17
41.154866251,41.154866251,South,358,Dorris,Glassup,4073.2,27/08/2018,"Ambarella, Inc.",9897.25,9897.25
9.246602879,2.387441760,South,361,Mannie,Asser,724.5,22/12/2016,iStar Financial Inc.,7835.31,30346.29
43.002754415,6.934747282,South,365,Cody,Geale,2335.6,29/05/2017,Morgan Stanley,5431.28,33679.67
11.704496845,11.704496845,South,366,Natasha,Obey,796.23,08/07/2018,MSCI Inc,6802.77,6802.77
62.313651074,27.273498964,South,367,Stinky,Durnford,8193.03,28/02/2017,Fifth Street Finance Corp.,13148.05,30040.26
25.399173457,13.313993477,South,371,Evey,Halwell,5485.81,17/12/2016,"Goldman Sachs Group, Inc. (The)",21598.38,41203.34
38.213260076,38.213260076,South,376,Kimmi,Trippitt,3740.44,21/06/2016,KraneShares CSI China Internet ETF,9788.33,9788.33
21.316115629,10.187810034,South,379,Jaquenette,Mart,1805.88,28/07/2017,"American Software, Inc.",8471.9,17725.89
66.960349764,66.960349764,South,391,Dacie,Bonsale,8873.84,04/03/2019,The Charles Schwab Corporation,13252.38,13252.38
32.968212688,11.749584362,South,395,Tyler,Malcolmson,3823.35,30/07/2018,Public Storage,11597.08,32540.3
81.135423543,81.135423543,South,404,Jae,Aberkirdo,1339.7,12/12/2016,MUELLER WATER PRODUCTS,1651.19,1651.19
72.235310769,72.235310769,South,405,Paige,Guildford,8778.23,21/07/2016,Azure Power Global Limited,12152.27,12152.27
22.057166326,5.922407103,South,417,Launce,Scad,3039.74,23/06/2018,Wells Fargo & Company,13781.19,51326.09
45.070734563,24.131145795,South,418,Florida,Alibone,7974.96,11/03/2019,Mylan N.V.,17694.32,33048.41
22.681107466,21.508618389,South,419,Archambault,Bezzant,2176.47,13/08/2018,Seaspan Corporation,9595.96,10119.06
63.753783996,39.104891706,South,422,Yule,Foulcher,8527.33,06/11/2018,Andina Acquisition Corp. II,13375.41,21806.3
33.526118485,21.177544099,South,423,Daniela,Inett,3135.49,19/11/2016,Opus Bank,9352.38,14805.73
64.506848577,50.893122742,South,424,Liva,Moxley,6107.76,28/06/2018,"Dynex Capital, Inc.",9468.39,12001.15
45.914595615,45.914595615,South,425,Kathleen,McIlwain,6706.52,30/06/2018,Global X SuperDividend REIT ETF,14606.51,14606.51
79.518283491,79.518283491,South,427,Enriqueta,Walshe,1134.05,22/05/2017,Nuveen Texas Quality Municipal Income Fund,1426.15,1426.15
68.027628500,68.027628500,South,429,Glen,Asher,2116.53,06/10/2018,First Trust International Multi-Asset Diversified Income Index,3111.28,3111.28
5.942859506,2.362187541,South,431,Sydney,Botley,833.47,06/09/2018,EPR Properties,14024.73,35283.82
48.610404789,21.423024522,South,435,Danica,Grzegorek,5448.4,13/12/2017,CABCO Series 2004-101 Trust,11208.3,25432.45
47.145418725,23.206970199,South,443,Jeni,Whoolehan,8042.9,07/06/2016,Qwest Corporation,17059.77,34657.26
56.342382272,29.747314757,South,445,Lucian,Walding,9211.14,16/08/2016,"Overstock.com, Inc.",16348.51,30964.61
26.524777385,26.524777385,South,461,Neils,Pallesen,2341.61,23/03/2017,"Customers Bancorp, Inc",8828.01,8828.01
74.131912355,74.131912355,South,474,Tansy,Perel,7740.58,17/06/2016,Aercap Holdings N.V.,10441.63,10441.63
32.195468002,32.195468002,South,475,Morlee,Pittam,2437.11,02/11/2017,"Merrimack Pharmaceuticals, Inc.",7569.73,7569.73
33.912173043,17.776422979,South,479,Idalina,Bellingham,7324.48,30/08/2016,"Goldman Sachs Group, Inc. (The)",21598.38,41203.34
37.686348926,16.494597583,South,496,Torrey,Colbourn,4955.02,06/07/2017,Fifth Street Finance Corp.,13148.05,30040.26
54.409526784,15.411522627,South,498,Steffi,Boyda,4912.56,04/12/2016,Tsakos Energy Navigation Ltd,9028.86,31875.89
11.473283413,11.473283413,South,511,Irina,Beche,1985.75,06/08/2017,Lincoln National Corporation,17307.6,17307.6
40.484183757,22.305073470,South,519,Sibylle,Garatty,4425.65,02/02/2019,Urstadt Biddle Properties Inc.,10931.8,19841.45
33.934026533,17.787878361,South,520,Engelbert,Clapham,7329.2,25/11/2017,"Goldman Sachs Group, Inc. (The)",21598.38,41203.34
5.534192340,2.248411466,South,521,Miguel,Parsisson,340.51,13/05/2018,Telecom Argentina Stet - France Telecom S.A.,6152.84,15144.47
62.568850285,42.226524626,South,526,Nick,Lannen,9677.23,27/10/2016,Meritage Corporation,15466.53,22917.42
14.626880753,10.418419275,South,529,Roxane,Malthouse,1534.43,06/07/2017,Tesoro Corporation,10490.48,14728.05
67.019944666,50.049200854,South,530,Alessandra,Blackborn,6123.8,03/04/2019,"Healthcare Trust of America, Inc.",9137.28,12235.56
81.524422512,81.524422512,South,535,Madison,Van Geffen,3034.82,30/06/2018,"Synopsys, Inc.",3722.59,3722.59
20.050055772,9.200710215,South,538,Derril,De Gowe,9393.8,23/05/2018,Bank of America Corporation,46851.74,102098.64
54.085404385,54.085404385,South,546,Sabine,Poston,7899.99,15/05/2019,Global X SuperDividend REIT ETF,14606.51,14606.51
21.160715710,19.608178124,South,547,Pepito,Frenzel;,1193.64,06/04/2019,Cemtrex Inc.,5640.83,6087.46
15.010700570,10.473250745,South,549,Daren,Briand,1440.67,08/03/2017,Ferroglobe PLC,9597.62,13755.71
96.623433681,36.143472783,South,560,Stanfield,Ten Broek,3166.92,18/07/2016,"RCI Hospitality Holdings, Inc.",3277.59,8762.08
30.096102255,12.940089269,South,570,Melisse,Djekovic,8604.59,15/12/2016,J P Morgan Chase & Co,28590.38,66495.6
25.868087645,25.868087645,South,579,Sherry,Olivetti,2701.05,14/02/2017,Aercap Holdings N.V.,10441.63,10441.63
40.063805618,40.063805618,South,583,Ciro,Gooms,1989.2,27/05/2016,"Cohu, Inc.",4965.08,4965.08
4.901172645,1.016450336,South,584,Harley,Batchellor,242.04,09/01/2019,"AmTrust Financial Services, Inc.",4938.41,23812.28
88.713611280,14.153500292,South,585,Hamid,Keble,4182.9,11/06/2018,"America Movil, S.A.B. de C.V.",4715.06,29553.82
30.311189604,20.142629932,South,587,Debor,Tiesman,4397.12,16/06/2016,Playa Hotels & Resorts N.V.,14506.59,21829.92
32.980055334,24.628868642,South,610,Samaria,Fillis,3013.48,25/05/2016,"Healthcare Trust of America, Inc.",9137.28,12235.56
19.089960900,19.089960900,South,611,Sanderson,Clendinning,1129.28,16/05/2017,"Cellular Biomedicine Group, Inc.",5915.57,5915.57
36.681407121,23.945193445,South,616,Nikita,Chater,5767.48,22/10/2018,Amerco,15723.17,24086.17
66.507540407,58.991988570,South,617,Eula,Feander,9405.37,19/01/2017,"Wheeler Real Estate Investment Trust, Inc.",14141.81,15943.47
5.101373399,2.366822095,South,618,Thaxter,Edens,693.37,06/04/2018,Mountain Province Diamonds Inc.,13591.83,29295.4
33.039650236,33.039650236,South,629,Addison,Garn,4378.54,21/07/2018,The Charles Schwab Corporation,13252.38,13252.38
27.764689231,27.764689231,South,643,Carley,Glynne,3374.04,01/04/2019,Azure Power Global Limited,12152.27,12152.27
45.174686195,16.764656467,South,644,Barde,Breckin,3123.17,23/10/2017,GasLog LP.,6913.54,18629.49
20.506851669,18.189515833,South,648,Kass,Hickisson,2900.04,17/10/2017,"Wheeler Real Estate Investment Trust, Inc.",14141.81,15943.47
52.854581275,26.017261607,South,653,Jessika,Matei,9016.87,19/06/2018,Qwest Corporation,17059.77,34657.26
27.726181990,19.505412280,South,654,Fancy,Hundy,5923.94,13/03/2018,Lehman ABS Corporation,21365.87,30370.75
38.450727499,16.611810672,South,657,Andromache,Evershed,4467.69,26/09/2016,"Ocean Bio-Chem, Inc.",11619.26,26894.66
53.961729270,23.493991836,South,658,Gianna,Freckelton,8794.17,23/09/2017,HSBC Holdings plc,16297.05,37431.57
61.786739924,61.786739924,South,662,Petronille,Tomsett,6047.89,19/01/2018,KraneShares CSI China Internet ETF,9788.33,9788.33
29.344504450,21.108073885,South,667,Basilio,Greson,3118.91,16/02/2018,"Allied World Assurance Company Holdings, AG",10628.6,14775.91
67.607078924,18.152678297,South,668,Marrilee,Sayer,9317.06,23/03/2019,Wells Fargo & Company,13781.19,51326.09
20.009825314,5.344188814,South,674,Sibbie,Symones,1254.52,11/09/2016,Liberty Interactive Corporation,6269.52,23474.47
53.823663401,29.867282097,South,678,Shellysheldon,Dreakin,4749.54,07/12/2017,"M I Acquisitions, Inc.",8824.26,15902.15
41.515121023,22.873076312,South,683,Maddalena,Perello,4538.35,24/12/2016,Urstadt Biddle Properties Inc.,10931.8,19841.45
79.990174686,21.363634621,South,692,Yuri,Cockshtt,5015,31/03/2019,Liberty Interactive Corporation,6269.52,23474.47
58.346742124,27.070427439,South,694,Frans,Wager,7930.39,07/09/2016,Mountain Province Diamonds Inc.,13591.83,29295.4
15.675703827,7.193376915,South,695,Terri,Abethell,7344.34,10/03/2018,Bank of America Corporation,46851.74,102098.64
36.551884478,16.958532739,South,704,Dierdre,Shervil,4968.07,20/10/2017,Mountain Province Diamonds Inc.,13591.83,29295.4
23.638425997,9.526331270,South,708,Susann,Muckle,2840.45,16/12/2016,"CYS Investments, Inc.",12016.24,29816.83
12.985607924,11.518195223,South,709,Dusty,Mulvihill,1836.4,13/03/2019,"Wheeler Real Estate Investment Trust, Inc.",14141.81,15943.47
20.845309054,9.565641619,South,714,Derwin,Di Biaggi,9766.39,10/07/2016,Bank of America Corporation,46851.74,102098.64
57.813465289,57.813465289,South,717,Flossi,O'Hegertie,7617.56,19/10/2017,"WPX Energy, Inc.",13176.1,13176.1
19.737426148,12.717770344,South,718,Yolanda,Rennenbach,2147.73,28/12/2018,"Gulf Resources, Inc.",10881.51,16887.63
36.246216004,22.232474102,South,723,Beitris,Dillinger,4848.08,10/05/2019,Andina Acquisition Corp. II,13375.41,21806.3
46.361405904,46.361405904,South,727,Haroun,Kobelt,8006.23,16/03/2018,iShares GNMA Bond ETF,17269.17,17269.17
45.590473216,12.913521787,South,728,Baxie,Kelmere,4116.3,02/08/2018,Tsakos Energy Navigation Ltd,9028.86,31875.89
35.675074859,35.675074859,South,729,Itch,Gatehouse,6817.2,12/07/2017,"BofI Holding, Inc.",19109.14,19109.14
53.638594096,53.638594096,South,731,Ailyn,Staden,9262.94,28/05/2016,iShares GNMA Bond ETF,17269.17,17269.17
45.282833241,45.282833241,South,734,Kaela,Jina,8653.16,23/06/2018,"BofI Holding, Inc.",19109.14,19109.14
16.703221695,7.664891521,South,741,Munroe,Larvent,7825.75,12/06/2016,Bank of America Corporation,46851.74,102098.64
33.354405302,23.047587995,South,747,Gabrila,Bourcq,2954.71,06/12/2018,"Cohen & Steers Global Income Builder, Inc.",8858.53,12820.04
67.804531998,67.804531998,South,752,Melisande,Grinov,5132.62,23/10/2016,"Merrimack Pharmaceuticals, Inc.",7569.73,7569.73
29.779614921,12.001242251,South,758,Marie-jeanne,Blyth,3578.39,04/10/2018,"CYS Investments, Inc.",12016.24,29816.83
1.990320957,0.913332440,South,761,Rozanne,Prendeguest,932.5,15/10/2017,Bank of America Corporation,46851.74,102098.64
37.134100385,22.285850836,South,767,Daniella,Exposito,5483.73,19/09/2016,Ares Management L.P.,14767.37,24606.33
94.358356118,35.528009777,South,770,Ada,Wendover,3154.23,30/10/2018,"The Finish Line, Inc.",3342.82,8878.15
12.405475530,12.405475530,South,771,Ingaborg,Annable,1386.56,19/12/2017,Coca Cola Femsa S.A.B. de C.V.,11177,11177
60.412104197,42.348325070,South,775,Johann,Bernaciak,9304.63,18/11/2016,"Cyclacel Pharmaceuticals, Inc.",15401.93,21971.66
54.929265437,29.409463269,South,776,Morgan,Locks,9719.36,23/04/2018,Mylan N.V.,17694.32,33048.41
46.581959082,18.772619356,South,777,Packston,Knibb,5597.4,09/12/2017,"CYS Investments, Inc.",12016.24,29816.83
59.936194382,59.936194382,South,790,Lexy,Chong,2975.88,05/01/2017,"Cohu, Inc.",4965.08,4965.08
5.641643882,2.124203804,South,791,Collette,Clericoates,188.59,20/09/2017,"The Finish Line, Inc.",3342.82,8878.15
67.031787312,23.889546193,South,796,Caressa,Remmer,7773.73,29/04/2018,Public Storage,11597.08,32540.3
23.319856121,17.123036891,South,799,Sissie,Muccino,2979.03,25/03/2018,"MetLife, Inc.",12774.65,17397.79
89.941332906,51.193210778,South,804,Clair,Kinnerk,9652.27,07/10/2016,"MacroGenics, Inc.",10731.74,18854.59
10.058667094,5.725237197,South,807,Tracie,Bartoloma,1079.47,21/06/2016,"MacroGenics, Inc.",10731.74,18854.59
87.817654310,31.029776202,South,816,Stace,Rouby,6831.59,15/08/2017,Pebblebrook Hotel Trust,7779.29,22016.24
41.329315624,10.671090272,South,819,Berton,Calbert,3238.28,20/02/2017,iStar Financial Inc.,7835.31,30346.29
70.655495550,50.823874807,South,824,Dorette,Durtnell,7509.69,27/09/2018,"Allied World Assurance Company Holdings, AG",10628.6,14775.91
3.376566319,1.263056261,South,830,Antonina,Hartland,110.67,08/08/2016,"RCI Hospitality Holdings, Inc.",3277.59,8762.08
9.627283853,4.417835536,South,832,Oona,Jacke,4510.55,10/07/2018,Bank of America Corporation,46851.74,102098.64
61.549272501,26.591040749,South,852,Dalston,Ackwood,7151.57,26/04/2018,"Ocean Bio-Chem, Inc.",11619.26,26894.66
49.663251344,22.008322541,South,860,Ezmeralda,Yitzhakof,8478.55,27/12/2018,Ashford Hospitality Trust Inc,17072.08,38524.29
56.851994694,42.432359139,South,863,Hamlin,Entissle,4709.75,22/10/2018,Vanguard Russell 2000 ETF,8284.23,11099.43
49.424081498,12.761131591,South,864,Woodrow,Iwaszkiewicz,3872.53,19/04/2017,iStar Financial Inc.,7835.31,30346.29
33.839310272,22.487164406,South,869,Glynda,Lawrenson,4908.93,18/06/2017,Playa Hotels & Resorts N.V.,14506.59,21829.92
30.706377460,13.202482570,South,876,Vivian,Chipperfield,8779.07,22/08/2016,J P Morgan Chase & Co,28590.38,66495.6
64.400435183,61.071285277,South,878,Guendolen,Talkington,6179.84,21/04/2019,Seaspan Corporation,9595.96,10119.06
46.038270730,20.044256760,South,886,Dona,Stoop,7502.88,07/10/2017,HSBC Holdings plc,16297.05,37431.57
37.931521570,18.794538918,South,890,Maximilien,Lunck,4860.42,06/09/2017,Aegon NV,12813.67,25860.81
33.560534485,33.560534485,South,892,Isidore,MacPhail,3978.4,30/04/2017,Cooper-Standard Holdings Inc.,11854.4,11854.4
10.335754750,2.775177303,South,894,Baillie,Gerren,1424.39,03/01/2019,Wells Fargo & Company,13781.19,51326.09
43.417917982,29.412976304,South,896,Abigail,Hoofe,6683.09,24/01/2019,"Malvern Bancorp, Inc.",15392.47,22721.57
15.108104843,6.932913112,South,901,Magdalen,Galvin,7078.41,04/10/2017,Bank of America Corporation,46851.74,102098.64
80.910039100,80.910039100,South,905,Debora,Pfeifer,4786.29,13/12/2016,"Cellular Biomedicine Group, Inc.",5915.57,5915.57
97.434142252,97.434142252,South,908,Issy,Pawnsford,6647.23,27/06/2018,"Terra Nitrogen Company, L.P.",6822.28,6822.28
51.537471980,51.537471980,South,911,Dare,McClintock,8385.09,02/03/2019,Quest Diagnostics Incorporated,16269.89,16269.89
85.129731762,85.129731762,South,920,Rosabelle,Revett,6791.65,13/03/2017,"Neenah Paper, Inc.",7978,7978
15.253347455,6.558313633,South,923,Mariska,Harmstone,4360.99,18/05/2017,J P Morgan Chase & Co,28590.38,66495.6
38.909765902,27.373081007,South,925,Moises,Blakeborough,8313.41,20/02/2018,Lehman ABS Corporation,21365.87,30370.75
49.199877943,24.377852047,South,928,Lyman,Quinnet,6304.31,21/04/2019,Aegon NV,12813.67,25860.81
48.668426548,43.452053345,South,930,Romona,Cobbing,2629.01,04/08/2017,Anheuser-Busch Inbev SA,5401.88,6050.37
13.490809367,13.490809367,South,943,Kenneth,Dance,1190.97,30/10/2017,"Customers Bancorp, Inc",8828.01,8828.01
12.182345690,4.304549732,South,946,Almeria,Klemke,947.7,17/02/2019,Pebblebrook Hotel Trust,7779.29,22016.24
88.295503155,88.295503155,South,957,Lamont,Bernardin,6006.54,16/07/2018,MSCI Inc,6802.77,6802.77
42.186534711,42.186534711,South,962,Killy,Bunner,5558.54,27/01/2018,"WPX Energy, Inc.",13176.1,13176.1
40.016100132,15.905732429,South,967,Vanda,Guntrip,5612.15,15/02/2017,EPR Properties,14024.73,35283.82
50.336748656,22.306783590,South,972,Lurlene,Chaize,8593.53,24/08/2017,Ashford Hospitality Trust Inc,17072.08,38524.29
48.462528020,48.462528020,South,984,Wes,Wheelwright,7884.8,03/02/2019,Quest Diagnostics Incorporated,16269.89,16269.89
56.997245585,9.191538991,South,998,Freddy,Corthes,3095.68,16/11/2016,Morgan Stanley,5431.28,33679.67
4.117307975,2.854810795,Central,8,Gusta,Mahmood,304.99,07/01/2017,"Fusion Telecommunications International, Inc.",7407.51,10683.37
61.466237709,35.202501352,Central,9,Delores,Nieass,7798.91,03/03/2018,Panhandle Royalty Company,12688.12,22154.42
74.888220172,48.467028745,Central,18,Roxy,Lermit,7550.47,19/01/2019,TravelCenters of America LLC,10082.32,15578.57
22.732679070,10.759243900,Central,19,Kinny,Hughesdon,2761.8,20/10/2018,American Homes 4 Rent,12149.03,25669.09
58.475392874,28.009696928,Central,33,Carlyn,Rawle,8058.95,23/02/2019,"Colony NorthStar, Inc.",13781.78,28772
70.625961381,30.729539600,Central,37,Ashly,Hellmore,8347.24,27/11/2016,"Bankwell Financial Group, Inc.",11818.94,27163.57
66.609255130,66.609255130,Central,39,Chaim,Garrelts,8659.01,04/08/2016,Nuveen Quality Municipal Income Fund,12999.71,12999.71
27.569633576,10.394279898,Central,41,Penelopa,Weigh,1854.51,08/12/2017,"Voyager Therapeutics, Inc.",6726.64,17841.64
45.961036317,24.599944121,Central,43,Aimee,de Tocqueville,8285.18,13/12/2018,Morgan Stanley,18026.53,33679.67
49.986584416,49.986584416,Central,52,Neilla,Flanigan,4173.13,06/03/2019,The Long-Term Care ETF,8348.5,8348.5
41.130298467,39.667458291,Central,54,Darleen,Gealle,6669.5,13/03/2018,Lions Gate Entertainment Corporation,16215.54,16813.53
12.861259213,9.146467085,Central,57,Aleen,Edmundson,1163.18,08/02/2017,Alphabet Inc.,9044.06,12717.26
50.446669412,40.333196306,Central,59,Marisa,Allonby,4581.96,29/09/2018,CPI Card Group Inc.,9082.78,11360.27
51.496982597,51.496982597,Central,64,Elisha,Wellen,5405.01,08/12/2017,Petroleo Brasileiro S.A.- Petrobras,10495.78,10495.78
47.217249021,30.754713742,Central,65,Glendon,Woltman,6986.25,08/11/2018,Molina Healthcare Inc,14795.97,22716.03
41.201282604,41.201282604,Central,67,Andriette,Rosenvasser,3930.59,03/04/2017,"Essex Property Trust, Inc.",9539.97,9539.97
10.212703683,10.212703683,Central,75,Maxy,Royste,425.69,29/10/2018,LMP Capital and Income Fund Inc.,4168.24,4168.24
55.796590179,54.922470416,Central,78,Kettie,McCaskill,9972.24,11/10/2017,Verizon Communications Inc.,17872.49,18156.94
32.876194214,10.784337610,Central,81,Tammy,Kleszinski,7171.11,31/03/2017,J P Morgan Chase & Co,21812.47,66495.6
84.958842293,42.212548007,Central,82,Nigel,Collocott,7481.79,04/11/2018,Huntington Bancshares Incorporated,8806.37,17724.09
44.203409821,43.510910979,Central,83,Hamilton,Shardlow,7900.25,18/12/2018,Verizon Communications Inc.,17872.49,18156.94
19.093445177,12.559874208,Central,96,Estella,Beardwell,1692.59,11/12/2016,Stantec Inc,8864.77,13476.17
64.805300162,36.183991724,Central,101,Shea,Lapenna,5320.23,04/09/2017,Reading International Inc,8209.56,14703.27
50.408749897,50.408749897,Central,102,Ludvig,Knobell,8542.05,23/10/2016,"Winnebago Industries, Inc.",16945.57,16945.57
50.375362250,36.390264190,Central,104,Gris,Etherington,8557.56,22/07/2017,Vipshop Holdings Limited,16987.59,23516.07
27.045214342,11.444201631,Central,106,Nanine,Trinke,2049.7,22/06/2018,M&T Bank Corporation,7578.79,17910.38
71.947823173,15.978797453,Central,110,Dino,Kettridge,3177.59,12/11/2018,Star Bulk Carriers Corp.,4416.52,19886.29
