Salesperson,Departure_ID,Date_Logged,Product_Type,Weight_Allocated,Volume_Allocated
Daisy Steiner,Tug-03-15-04-2019,3/20/2019,Spurs Jerseys,39,8
Marsha Klein,Tanker-04-27-06-2019,4/23/2019,Cheese,96,30
Colin Chien,Tanker-03-30-04-2019,3/30/2019,Sneakers,211,2
Tim Bisley,Freighter-05-23-05-2019,3/4/2019,Vinyl Records,504,70
Tim Bisley,Tug-01-04-06-2019,1/21/2019,Oil,61,5
Tim Bisley,Tanker-01-04-06-2019,1/15/2019,University Textbooks,25,12
Colin Chien,Tanker-04-27-04-2019,2/28/2019,Shipping Containers,244,32
Daisy Steiner,Tanker-01-04-06-2019,3/17/2019,Luxury Goods,15,16
Tim Bisley,Freighter-05-26-05-2019,1/20/2019,Rubber Ducks,624,42
Marsha Klein,Tug-02-11-05-2019,2/8/2019,Sneakers,82,6
Marsha Klein,Freighter-02-10-04-2019,2/28/2019,Cheese,956,52
Tim Bisley,Tanker-01-11-05-2019,3/13/2019,White Goods,199,20
Brian Topp,Freighter-05-23-05-2019,2/19/2019,Produce,368,58
Daisy Steiner,Tug-04-21-06-2019,3/18/2019,Knickknacks,14,12
Mike Watt,Tug-01-04-06-2019,1/24/2019,Gold Bullion,34,2
Marsha Klein,Tug-01-07-06-2019,2/6/2019,Tiny Violins,75,5
Marsha Klein,Freighter-02-26-05-2019,4/24/2019,Shipping Containers,540,20
Tim Bisley,Tug-01-29-04-2019,3/5/2019,Cheese,82,9
Tim Bisley,Tanker-01-11-05-2019,3/29/2019,DVD Boxsets,0,12
Mike Watt,Tanker-01-04-06-2019,2/7/2019,Timber,8,42
Brian Topp,Tug-05-27-03-2019,1/26/2019,Knickknacks,70,10
Twist Morgan,Tug-05-26-05-2019,4/14/2019,Timber,85,11
Mike Watt,Tanker-04-27-04-2019,3/11/2019,Produce,30,40
Brian Topp,Tanker-05-03-05-2019,1/24/2019,Tiny Violins,237,6
Twist Morgan,Tug-01-07-06-2019,3/1/2019,Motor vehicles,92,7
Brian Topp,Tug-03-17-04-2019,4/2/2019,Knickknacks,29,12
Brian Topp,Tanker-02-11-06-2019,4/14/2019,Spurs Jerseys,84,26
Twist Morgan,Freighter-04-12-04-2019,3/2/2019,White Goods,88,22
Colin Chien,Tanker-05-27-05-2019,4/17/2019,White Goods,180,6
Colin Chien,Freighter-04-19-06-2019,2/21/2019,Gold Bullion,436,62
Brian Topp,Freighter-04-26-05-2019,4/11/2019,Cheese,112,18
Daisy Steiner,Freighter-05-10-06-2019,1/18/2019,Motor vehicles,760,82
Mike Watt,Tug-01-30-04-2019,1/30/2019,Produce,98,5
Mike Watt,Tanker-04-27-06-2019,2/8/2019,Knickknacks,175,42
Mike Watt,Freighter-05-23-05-2019,4/25/2019,Vinyl Records,776,24
Marsha Klein,Freighter-02-03-06-2019,2/9/2019,University Textbooks,852,36
Brian Topp,Tug-02-25-04-2019,3/6/2019,Spices,51,3
Colin Chien,Tug-01-07-06-2019,1/14/2019,Luxury Goods,26,8
Twist Morgan,Tug-05-22-05-2019,3/9/2019,Knickknacks,42,6
Tim Bisley,Tanker-05-03-05-2019,3/28/2019,Beanie Babies,101,38
Colin Chien,Tanker-01-11-05-2019,1/10/2019,Legumes,105,22
Brian Topp,Tug-02-25-04-2019,1/27/2019,Cheese,100,6
Daisy Steiner,Tanker-05-20-05-2019,1/22/2019,Knickknacks,220,8
Marsha Klein,Freighter-02-10-04-2019,2/2/2019,Spices,708,90
Daisy Steiner,Freighter-05-10-06-2019,2/26/2019,Luxury Goods,200,70
Tim Bisley,Tug-02-11-05-2019,2/18/2019,Luxury Goods,52,8
Mike Watt,Freighter-04-27-04-2019,4/3/2019,DM Paper,448,38
Mike Watt,Tug-01-30-04-2019,1/27/2019,Oil,96,6
Twist Morgan,Tanker-02-07-04-2019,1/5/2019,Phone Catalogues,247,44
Tim Bisley,Tug-02-25-04-2019,1/20/2019,University Textbooks,96,2
Brian Topp,Tanker-04-27-06-2019,1/16/2019,Shipping Containers,180,22
Marsha Klein,Freighter-04-12-04-2019,1/7/2019,Luxury Goods,492,12
Mike Watt,Tug-03-17-04-2019,2/25/2019,Phone Catalogues,73,6
Brian Topp,Tug-01-04-06-2019,3/21/2019,Shipping Containers,107,9
Brian Topp,Freighter-03-01-04-2019,2/1/2019,Livestock,836,42
Mike Watt,Tug-02-25-04-2019,4/15/2019,Spices,33,1
Colin Chien,Tanker-01-11-05-2019,2/8/2019,Produce,161,8
Daisy Steiner,Tanker-05-17-06-2019,1/18/2019,Phone Catalogues,76,18
Marsha Klein,Tanker-05-02-05-2019,1/26/2019,Legumes,104,44
Twist Morgan,Freighter-02-10-04-2019,3/14/2019,Motor vehicles,652,44
Twist Morgan,Tug-03-04-05-2019,1/25/2019,Timber,22,5
Mike Watt,Tanker-04-27-04-2019,1/25/2019,White Goods,188,46
Brian Topp,Tug-02-11-05-2019,4/16/2019,Sneakers,100,5
Daisy Steiner,Tug-04-18-06-2019,4/13/2019,Produce,52,6
Brian Topp,Tug-03-04-05-2019,2/14/2019,Produce,13,12
Tim Bisley,Freighter-05-23-05-2019,4/15/2019,University Textbooks,200,26
Marsha Klein,Tug-03-04-05-2019,3/31/2019,C&BS Co Soap,51,1
Daisy Steiner,Freighter-04-26-05-2019,4/1/2019,Knickknacks,132,82
Tim Bisley,Freighter-04-31-03-2019,4/2/2019,Shipping Containers,172,38
Daisy Steiner,Tanker-02-11-06-2019,2/11/2019,Shipping Containers,168,48
Daisy Steiner,Tug-03-17-04-2019,3/21/2019,Tiny Violins,64,10
Twist Morgan,Tug-03-17-04-2019,4/16/2019,White Goods,0,11
Mike Watt,Tug-04-11-06-2019,2/20/2019,University Textbooks,78,11
Colin Chien,Tug-04-11-06-2019,3/18/2019,Spurs Jerseys,20,11
Brian Topp,Freighter-05-06-06-2019,2/10/2019,Vinyl Records,228,98
Twist Morgan,Tanker-04-27-04-2019,4/12/2019,Spurs Jerseys,144,48
Colin Chien,Tanker-04-27-06-2019,1/8/2019,Spurs Jerseys,10,38
Mike Watt,Tanker-02-07-04-2019,2/23/2019,Shipping Containers,79,18
Daisy Steiner,Freighter-04-19-06-2019,1/6/2019,Motor vehicles,140,2
Marsha Klein,Tanker-01-12-05-2019,2/20/2019,Sneakers,28,32
Marsha Klein,Tug-05-22-05-2019,3/28/2019,Oil,105,4
Daisy Steiner,Tug-04-11-06-2019,3/5/2019,Timber,78,3
Brian Topp,Tug-01-13-06-2019,3/4/2019,Luxury Goods,66,10
Daisy Steiner,Freighter-05-26-05-2019,1/18/2019,Spurs Jerseys,84,78
Marsha Klein,Freighter-05-10-06-2019,2/2/2019,Oil,508,12
Tim Bisley,Tanker-03-30-04-2019,2/14/2019,Motor vehicles,176,46
Colin Chien,Freighter-05-10-06-2019,3/2/2019,Tiny Violins,716,76
Daisy Steiner,Tug-01-13-06-2019,3/9/2019,Shipping Containers,62,12
Brian Topp,Tug-05-10-04-2019,3/2/2019,Vinyl Records,39,10
Brian Topp,Tanker-05-02-05-2019,4/12/2019,Electronics,59,22
Mike Watt,Freighter-02-26-05-2019,2/26/2019,Vinyl Records,96,42
Mike Watt,Tug-05-27-03-2019,4/7/2019,DVD Boxsets,108,5
Mike Watt,Freighter-02-11-06-2019,1/19/2019,Timber,132,4
Tim Bisley,Tug-01-04-06-2019,3/7/2019,Electronics,3,11
Marsha Klein,Tug-01-29-04-2019,2/23/2019,Tiny Violins,103,2
Daisy Steiner,Tanker-05-17-06-2019,3/3/2019,Produce,61,12
Daisy Steiner,Tanker-05-02-05-2019,3/27/2019,Legumes,190,2
Marsha Klein,Tug-01-29-04-2019,3/9/2019,University Textbooks,29,10
Marsha Klein,Tug-05-27-03-2019,3/19/2019,DM Paper,26,2
Daisy Steiner,Tanker-04-21-04-2019,2/16/2019,Produce,94,42
Marsha Klein,Tanker-04-27-06-2019,3/3/2019,Shipping Containers,109,6
Tim Bisley,Tanker-05-04-05-2019,2/6/2019,Sneakers,28,32
Tim Bisley,Freighter-05-26-06-2019,1/1/2019,Timber,364,54
Mike Watt,Tug-03-17-04-2019,2/15/2019,Oil,9,1
Marsha Klein,Freighter-02-11-06-2019,3/11/2019,Vinyl Records,36,16
Mike Watt,Tug-03-15-04-2019,3/16/2019,Electronics,31,9
Colin Chien,Tug-03-17-04-2019,2/11/2019,Beanie Babies,108,8
Brian Topp,Freighter-04-26-05-2019,4/19/2019,C&BS Co Soap,836,2
Mike Watt,Tanker-05-17-06-2019,1/22/2019,DM Paper,169,20
Colin Chien,Tanker-04-27-04-2019,1/4/2019,Knickknacks,32,36
Twist Morgan,Freighter-02-19-04-2019,3/26/2019,Livestock,460,62
Colin Chien,Freighter-05-06-06-2019,2/3/2019,Livestock,804,40
Daisy Steiner,Tug-01-29-04-2019,4/10/2019,Timber,10,8
Brian Topp,Tug-01-04-06-2019,4/3/2019,Legumes,49,5
Tim Bisley,Freighter-03-10-04-2019,3/17/2019,Sneakers,780,100
Twist Morgan,Tanker-02-11-06-2019,1/17/2019,Produce,88,12
Daisy Steiner,Tanker-04-10-04-2019,1/21/2019,Beanie Babies,192,34
Tim Bisley,Tanker-05-20-05-2019,4/23/2019,Cheese,84,22
Mike Watt,Freighter-05-23-05-2019,3/1/2019,Rubber Ducks,208,72
Daisy Steiner,Tug-04-11-06-2019,4/9/2019,Motor vehicles,7,5
Tim Bisley,Tanker-01-11-05-2019,4/22/2019,Motor vehicles,226,20
Brian Topp,Tug-03-17-04-2019,4/13/2019,Cheese,87,3
Colin Chien,Tanker-01-12-05-2019,4/9/2019,Electronics,256,32
Twist Morgan,Freighter-05-26-06-2019,1/3/2019,Gold Bullion,968,72
Colin Chien,Tanker-01-04-06-2019,3/27/2019,Legumes,214,12
Brian Topp,Tug-01-23-04-2019,4/3/2019,University Textbooks,1,5
Twist Morgan,Tanker-05-04-05-2019,2/26/2019,Electronics,139,50
Twist Morgan,Freighter-04-27-04-2019,2/27/2019,Oil,900,48
Mike Watt,Tug-01-04-06-2019,1/30/2019,Spurs Jerseys,7,9
Mike Watt,Tug-03-17-04-2019,1/31/2019,Gold Bullion,55,9
Brian Topp,Freighter-05-19-06-2019,4/1/2019,Spices,764,42
Brian Topp,Tug-04-18-06-2019,3/9/2019,Spurs Jerseys,91,2
Daisy Steiner,Freighter-04-19-06-2019,3/20/2019,Oil,908,48
Colin Chien,Freighter-05-06-06-2019,1/16/2019,DVD Boxsets,632,100
Daisy Steiner,Tanker-01-12-05-2019,1/31/2019,Motor vehicles,131,28
Brian Topp,Tug-05-26-05-2019,2/10/2019,DVD Boxsets,69,1
Twist Morgan,Tug-03-14-04-2019,2/21/2019,Spurs Jerseys,66,10
Mike Watt,Freighter-05-23-05-2019,2/1/2019,Spices,152,8
Marsha Klein,Tug-03-15-04-2019,3/14/2019,Phone Catalogues,18,5
Tim Bisley,Freighter-03-01-04-2019,1/1/2019,Knickknacks,332,58
Brian Topp,Freighter-03-10-04-2019,1/29/2019,Sneakers,268,82
Twist Morgan,Tanker-01-04-06-2019,4/24/2019,Shipping Containers,179,18
Tim Bisley,Freighter-05-06-06-2019,1/27/2019,Produce,680,94
Tim Bisley,Tug-04-18-06-2019,4/1/2019,C&BS Co Soap,31,11
Mike Watt,Freighter-03-10-04-2019,2/23/2019,Phone Catalogues,844,78
Marsha Klein,Freighter-05-10-06-2019,3/28/2019,Spices,556,20
Daisy Steiner,Tanker-05-03-05-2019,2/9/2019,Electronics,245,50
Twist Morgan,Tug-03-17-04-2019,4/22/2019,Beanie Babies,96,5
Tim Bisley,Freighter-02-10-04-2019,2/23/2019,Spices,336,40
Marsha Klein,Tanker-05-27-05-2019,3/1/2019,Motor vehicles,240,34
Mike Watt,Tanker-05-20-05-2019,4/2/2019,Vinyl Records,23,12
Colin Chien,Tanker-01-04-06-2019,3/28/2019,Luxury Goods,75,48
Daisy Steiner,Freighter-04-19-06-2019,2/20/2019,Legumes,336,94
Mike Watt,Freighter-02-03-06-2019,2/12/2019,Rubber Ducks,864,14
Twist Morgan,Freighter-01-06-04-2019,3/1/2019,Spices,364,48
Daisy Steiner,Freighter-05-26-06-2019,4/4/2019,Legumes,940,58
Marsha Klein,Tug-02-11-05-2019,4/13/2019,University Textbooks,20,3
Colin Chien,Tanker-01-04-06-2019,1/2/2019,Shipping Containers,15,26
Colin Chien,Freighter-05-19-06-2019,3/6/2019,Livestock,872,54
Tim Bisley,Freighter-05-06-06-2019,3/14/2019,Beanie Babies,868,42
Brian Topp,Tug-03-04-05-2019,1/3/2019,University Textbooks,56,7
Twist Morgan,Tug-05-27-03-2019,3/18/2019,Produce,61,10
Marsha Klein,Tanker-05-27-05-2019,3/14/2019,C&BS Co Soap,178,24
Daisy Steiner,Tug-02-25-04-2019,4/7/2019,Tiny Violins,82,4
Colin Chien,Freighter-01-18-06-2019,2/19/2019,Tiny Violins,76,28
Marsha Klein,Freighter-05-10-06-2019,1/4/2019,DVD Boxsets,188,60
Colin Chien,Tanker-01-04-06-2019,2/24/2019,C&BS Co Soap,240,26
Brian Topp,Tug-01-13-06-2019,3/20/2019,Knickknacks,31,1
Daisy Steiner,Tanker-02-07-04-2019,2/27/2019,White Goods,244,24
Twist Morgan,Tanker-05-27-05-2019,2/1/2019,C&BS Co Soap,165,26
Brian Topp,Tanker-01-11-05-2019,2/27/2019,Livestock,15,20
Brian Topp,Tug-02-25-04-2019,1/8/2019,Phone Catalogues,17,9
Tim Bisley,Tanker-03-30-04-2019,4/4/2019,Oil,216,20
Colin Chien,Tanker-04-27-06-2019,2/22/2019,Spurs Jerseys,34,28
Twist Morgan,Freighter-04-26-05-2019,3/23/2019,White Goods,36,46
Marsha Klein,Freighter-02-26-05-2019,1/1/2019,Shipping Containers,848,48
Tim Bisley,Tug-03-04-05-2019,3/3/2019,Phone Catalogues,66,9
Marsha Klein,Freighter-03-10-04-2019,1/16/2019,Luxury Goods,664,54
Tim Bisley,Tanker-05-20-05-2019,1/17/2019,DM Paper,129,46
Colin Chien,Freighter-04-12-04-2019,1/23/2019,Legumes,756,2
Brian Topp,Tug-01-30-04-2019,2/24/2019,Shipping Containers,69,5
Twist Morgan,Freighter-02-26-05-2019,1/27/2019,Spurs Jerseys,448,24
Brian Topp,Tug-03-04-05-2019,1/17/2019,Phone Catalogues,17,10
Marsha Klein,Tug-05-27-03-2019,2/8/2019,DVD Boxsets,92,2
Twist Morgan,Tanker-01-12-05-2019,1/1/2019,Vinyl Records,155,22
Mike Watt,Tanker-05-17-06-2019,1/10/2019,Motor vehicles,234,8
Brian Topp,Tanker-04-21-04-2019,2/28/2019,Cheese,219,44
Colin Chien,Tug-04-03-05-2019,3/21/2019,Oil,29,4
Tim Bisley,Tug-05-27-03-2019,1/16/2019,Cheese,104,11
Daisy Steiner,Freighter-01-18-06-2019,1/3/2019,Beanie Babies,708,100
Daisy Steiner,Tug-04-11-06-2019,4/5/2019,University Textbooks,13,1
Daisy Steiner,Tug-03-14-04-2019,2/11/2019,Luxury Goods,23,4
Daisy Steiner,Freighter-05-26-05-2019,3/25/2019,University Textbooks,196,96
Mike Watt,Freighter-02-03-06-2019,3/7/2019,Livestock,116,50
Twist Morgan,Freighter-04-26-05-2019,1/23/2019,Beanie Babies,20,46
Colin Chien,Tug-05-10-04-2019,3/18/2019,Oil,81,2
Brian Topp,Tug-01-29-04-2019,3/3/2019,Livestock,61,5
Marsha Klein,Freighter-02-19-04-2019,3/22/2019,Luxury Goods,860,76
Daisy Steiner,Tanker-05-08-06-2019,4/9/2019,Timber,13,50
Tim Bisley,Tanker-04-27-04-2019,3/14/2019,Sneakers,66,46
Mike Watt,Freighter-02-26-05-2019,2/6/2019,Rubber Ducks,944,22
Twist Morgan,Freighter-01-18-06-2019,2/1/2019,University Textbooks,864,68
Tim Bisley,Freighter-03-01-04-2019,3/30/2019,Spices,556,82
Tim Bisley,Tug-04-11-06-2019,3/31/2019,Luxury Goods,108,10
