Customer ID,First Name,Last Name,Sales,Order Date,Stock
146,Clark,Eckart,3110.28,11/01/2018,Cabot Microelectronics Corporation
147,Emmy,Chatenet,991.26,04/02/2017,"Safe Bulkers, Inc"
148,Dorey,Davydochkin,7170.37,12/03/2017,"IDACORP, Inc."
149,Bree,Beade,7384.39,29/08/2018,Frontline Ltd.
150,Waite,Presland,9260.73,22/10/2017,"First Connecticut Bancorp, Inc."
151,Trisha,Perot,9890.54,01/11/2018,Alibaba Group Holding Limited
152,Arden,Delcastel,9566.08,02/07/2016,Capital Southwest Corporation
153,Phaidra,Archard,5843.26,15/09/2016,PowerShares 1-30 Laddered Treasury Portfolio
154,Gloriane,Buntin,8874.92,07/12/2016,Eaton vance Floating-Rate Income Plus Fund
155,Howey,Ghion,2228.73,27/03/2019,"U.S. Auto Parts Network, Inc."
156,Welby,Noorwood,1181.22,20/12/2018,Mountain Province Diamonds Inc.
157,Boyce,O'Hogertie,6025.52,20/11/2018,"Sky Solar Holdings, Ltd."
158,Ugo,Coney,7177.0,05/12/2016,WisdomTree Emerging Markets Consumer Growth Fund
159,Chiquia,Amphlett,9823.2,27/12/2018,"Invuity, Inc."
160,Lorne,Ferrucci,7674.06,01/08/2018,"Reinsurance Group of America, Incorporated"
161,Husain,Matczak,7168.01,26/07/2018,Voya Natural Resources Equity Income Fund
162,Hewe,Carwardine,9080.89,19/04/2017,"Central Europe, Russia and Turkey Fund, Inc. (The)"
163,Suzann,Fishlock,8026.58,17/03/2019,BlackRock 2022 Global Income Opportunity Trust
164,Graehme,Gostick,9902.46,26/06/2018,"Ambac Financial Group, Inc."
165,Gaylor,McClaughlin,7496.29,22/07/2016,Great Plains Energy Inc
166,Darrelle,Cornes,5855.1,21/11/2016,Boston Scientific Corporation
167,Addia,Doogue,1320.91,08/08/2017,Saban Capital Acquisition Corp.
168,Lottie,Audiss,3059.88,25/03/2018,"UMH Properties, Inc."
169,Shena,Calf,204.39,19/12/2017,"Hurco Companies, Inc."
170,Euell,Durnan,7086.13,25/09/2017,"Blackrock MuniYield California Insured Fund, Inc."
171,Shelagh,Antonietti,8290.28,24/03/2017,John Hancock Tax-Advantaged Global Shareholder Yield Fund
172,Tasia,Eble,9342.33,20/04/2018,"Argo Group International Holdings, Ltd."
173,Selig,Stayt,890.16,20/11/2016,Eaton Vance Corporation
174,Salim,Coe,3695.41,16/03/2017,InfoSonics Corp
175,Merell,Goldwater,4225.68,29/08/2016,Legg Mason US Diversified Core ETF
176,Zerk,Browncey,758.96,21/09/2017,MYOS RENS Technology Inc.
177,Esmaria,Shillam,4389.04,07/12/2018,Renren Inc.
178,Modesty,Oakeby,9161.75,29/11/2017,Alkermes plc
179,Phillis,Mawd,7691.75,02/07/2016,SBA Communications Corporation
180,Catrina,Collingworth,1636.95,16/11/2018,Covanta Holding Corporation
181,Xylina,Janczak,6320.96,06/02/2017,Fabrinet
182,Catharina,Macauley,8654.06,13/07/2018,"BeyondSpring, Inc."
183,Taite,Sex,8130.16,30/06/2018,Amec Plc Ord
184,Lethia,Hunnam,1399.53,13/02/2019,Minerals Technologies Inc.
185,Francisca,Rabat,9196.54,27/11/2018,Prana Biotechnology Ltd
186,Malachi,Verrier,1319.98,13/10/2016,Tuttle Tactical Management U.S. Core ETF
187,Stewart,Jeacocke,8090.71,03/07/2016,Hanesbrands Inc.
188,Guillermo,Gravenell,1982.81,11/05/2019,"FibroGen, Inc"
189,Kris,Goosnell,8142.55,13/08/2017,Weight Watchers International Inc
190,Julia,McBride,4735.97,25/03/2018,WashingtonFirst Bankshares Inc
191,Winslow,Waterstone,9080.01,04/12/2016,"Richmont Mines, Inc."
192,Othello,Baldazzi,6386.47,19/11/2016,Wix.com Ltd.
193,Winthrop,McCanny,9072.63,18/02/2018,Norwood Financial Corp.
194,Rori,Warriner,6299.84,06/04/2018,"Digital Turbine, Inc."
195,Elfreda,Dougliss,1646.0,26/03/2019,"L Brands, Inc."
196,Armin,Lehrmann,1226.22,21/08/2018,WisdomTree Emerging Markets Quality Dividend Growth Fund
197,Wallache,Trainer,3974.41,16/11/2016,Resource Capital Corp.
198,Ealasaid,Panter,303.63,31/01/2018,Nustar Energy L.P.
199,Wilfred,Soper,3252.98,10/12/2017,"Patterson Companies, Inc."
200,Ruggiero,Crumby,7497.64,04/04/2018,Pimco California Municipal Income Fund II
201,Steward,Gilsthorpe,1533.59,26/06/2017,Geron Corporation
202,Orelee,Leadbeater,8499.66,21/08/2018,Atmos Energy Corporation
203,Rozanne,Hallsworth,4003.28,02/10/2016,Stryker Corporation
204,Ginni,Wilkerson,6053.37,09/07/2016,Nuveen Georgia Quality Municipal Income Fund 
205,Bent,Botterell,9900.52,21/01/2018,Kewaunee Scientific Corporation
206,Shaylyn,Doel,9354.08,23/03/2019,Zymeworks Inc.
207,Joel,Westraw,3300.02,13/03/2018,Aceto Corporation
208,Teena,Strase,8854.86,16/03/2019,DHX Media Ltd.
209,Britte,Loadman,5296.97,05/12/2017,"TCG BDC, Inc."
210,Brenden,Shine,5771.9,26/09/2016,Comerica Incorporated
211,Jilli,Heak,5112.32,07/01/2017,"LightInTheBox Holding Co., Ltd."
212,Alistair,Shankle,1240.07,21/06/2017,Snap Inc.
213,Victor,Dofty,3481.93,20/09/2018,II-VI Incorporated
214,Clare,Newcomen,6775.24,19/04/2019,Agenus Inc.
215,Frederique,Janout,9246.15,18/06/2017,Brookdale Senior Living Inc.
216,Kaine,Ruecastle,207.6,08/12/2017,CNA Financial Corporation
217,Sig,Sage,324.32,02/03/2017,"Monster Digital, Inc."
218,Fredi,Andrei,3279.23,04/12/2018,"GTY Technology Holdings, Inc."
219,Pearl,Harrild,1497.72,15/07/2017,"Audentes Therapeutics, Inc."
220,Wenonah,Ende,2029.72,01/06/2018,Sina Corporation
221,Kerry,Maghull,2376.88,30/05/2018,United Insurance Holdings Corp.
222,Alfy,Beckhouse,5319.23,12/12/2017,"Tanger Factory Outlet Centers, Inc."
223,Charlena,Yellowley,5755.2,30/07/2017,Sanofi
224,Wiatt,Jerschke,997.78,11/04/2018,Tsakos Energy Navigation Ltd
225,Morissa,Ough,9527.29,18/07/2017,Qumu Corporation
226,Curry,Norssister,9388.56,03/07/2017,BlackRock Municipal Income Investment Trust
227,Sharleen,Domel,4216.22,19/05/2019,Voya Emerging Markets High Income Dividend Equity Fund
228,Valery,Jedrzaszkiewicz,7296.15,10/12/2016,PacWest Bancorp
229,Agustin,Jakov,5271.61,17/03/2018,Select Asset Inc.
230,Morgan,Causnett,4327.28,25/04/2019,"Globus Medical, Inc."
231,Bianka,Bycraft,4836.78,25/09/2017,Colonial High Income Municipal Trust
232,Ilise,Hackford,447.69,24/11/2017,Dreyfus High Yield Strategies Fund
233,Julina,Burridge,3292.97,03/03/2017,Signature Bank
234,Dedie,O'Rodane,9950.36,22/07/2018,Guaranty Bancorp
235,Vincents,Brattan,7361.46,28/09/2018,"Overstock.com, Inc."
236,Thorsten,Albon,1065.8,20/01/2017,"Sanderson Farms, Inc."
237,Tanney,Scrine,6487.25,08/12/2018,"Hawaiian Electric Industries, Inc."
238,Crissy,Wanden,8411.04,31/12/2017,Vericel Corporation
239,Fanchon,Workes,3339.07,07/06/2016,Stifel Financial Corporation
240,Davie,Cuss,8809.87,29/10/2018,Eagle Bulk Shipping Inc.
241,Fonsie,Semiraz,9113.32,25/04/2019,"Turning Point Brands, Inc."
242,Myrilla,Waything,9099.62,08/01/2018,"Landstar System, Inc."
243,Sybyl,Creegan,1223.03,25/11/2018,Liberty Global plc
244,Freddi,Giacomucci,7528.63,18/05/2019,"InterDigital, Inc."
245,Wendall,Asif,9972.48,09/04/2017,Community Bankers Trust Corporation.
246,Helenka,Luten,7112.83,04/08/2018,Scudder Strategic Income Trust
247,Miller,Mattedi,8738.66,05/04/2018,"Calavo Growers, Inc."
248,Sheridan,Gask,3766.15,11/10/2017,VanEck Vectors Pharmaceutical ETF
249,Amalia,Meneo,3521.36,11/08/2018,Nuveen California Municipal Value Fund 2
250,Lulu,Columbine,9296.38,27/05/2017,Citigroup Inc.
251,Koralle,Carding,5410.29,08/09/2018,Kayne Anderson MLP Investment Company
252,Prinz,Gorton,3661.51,14/12/2018,Old Republic International Corporation
253,Thor,Gauler,4690.56,09/10/2018,BlackRock Municipal Income Trust
254,Dino,Margrem,8519.11,18/04/2019,"Akoustis Technologies, Inc."
255,Dael,Sommerfeld,7278.47,06/03/2019,Altisource Residential Corporation
256,Maynord,Stairmond,7292.79,26/07/2017,Leaf Group Ltd.
257,Gayle,Admans,6185.39,21/05/2019,First Trust China AlphaDEX Fund
258,Jerald,Eagger,8570.08,26/12/2016,Microsemi Corporation
259,Gweneth,Heskin,2512.46,08/08/2018,"CYS Investments, Inc."
260,Ashlie,Bruni,6340.85,25/02/2018,Hugoton Royalty Trust
261,Arlena,Truman,2967.75,12/03/2017,IHS Markit Ltd.
262,Claudelle,Chastanet,4473.83,12/01/2019,"Craft Brew Alliance, Inc."
263,Yolanda,Kubala,1105.65,03/06/2016,Geo Group Inc (The)
264,Oswald,Nast,8121.94,20/05/2017,"Malibu Boats, Inc."
265,Corby,Pascow,7212.82,07/12/2018,"Safe Bulkers, Inc"
266,Dulcy,Ghidini,403.14,09/01/2019,Bel Fuse Inc.
267,Engelbert,Mazin,3366.01,29/10/2017,Extra Space Storage Inc
268,Den,Darthe,5295.55,18/04/2017,"Boot Barn Holdings, Inc."
269,Jackson,Brewers,1613.01,10/05/2018,DAVIDsTEA Inc.
270,Cirilo,Ranscombe,8322.62,27/01/2017,Unum Group
271,Angelle,Neligan,4723.19,16/06/2018,"National Health Investors, Inc."
272,Shem,Marczyk,4738.19,28/06/2018,"Sandy Spring Bancorp, Inc."
273,Marilyn,Gerkens,4973.45,03/08/2016,Western Asset Bond Fund
274,Shaylah,Dorbon,3386.74,27/01/2017,China Cord Blood Corporation
275,Trixy,Ruddoch,1052.25,25/12/2018,J P Morgan Chase & Co
276,Glynis,Payley,8754.63,13/06/2016,Coca-Cola European Partners plc
277,Kendal,Rouf,7924.97,30/04/2017,"Cardinal Health, Inc."
278,Berna,Pavlishchev,6060.02,12/06/2016,Apollo Investment Corporation
279,Tiffanie,Robken,2897.64,26/02/2019,pSivida Corp.
280,Burt,Arpin,2733.27,30/08/2016,"Warrior Met Coal, Inc."
281,Shoshana,Short,3589.85,13/02/2019,JMP Group LLC
282,Karilynn,Babcock,246.62,26/06/2016,"GTx, Inc."
283,Julianna,Fann,4619.25,17/10/2018,Westmoreland Coal Company
284,Elianore,Baselli,1501.94,03/11/2018,"Minerva Neurosciences, Inc"
285,Kath,Collman,6657.59,10/04/2017,Permian Basin Royalty Trust
286,Fenelia,Raunds,3263.44,26/11/2018,"China Fund, Inc. (The)"
287,Alika,Harme,8181.19,17/06/2017,Auris Medical Holding AG
288,Bonnee,Coveny,7087.02,24/02/2017,Abraxas Petroleum Corporation
289,Carlin,Rowlin,3238.58,27/04/2017,Triton International Limited
290,Misha,Yanne,8264.32,23/09/2017,Purefunds Solactive FinTech ETF
291,Haleigh,Anscott,5170.09,22/12/2018,"MediciNova, Inc."
292,Lorrie,Hrinishin,4107.74,01/12/2018,"Universal Logistics Holdings, Inc."
293,Emelyne,Marzello,6433.93,04/12/2016,Harmonic Inc.
294,Codi,Roydon,7453.36,07/08/2017,"Global Water Resources, Inc."
295,Sarge,Shiels,473.25,16/06/2018,Genesco Inc.
296,Egan,Crosse,7470.35,03/03/2018,"Black Stone Minerals, L.P."
297,Allyn,Gresswell,2439.3,10/09/2016,"Blackrock MuniYield Fund, Inc."
298,Jule,Ferguson,8453.53,22/05/2016,Cerner Corporation
299,Anita,Colwill,9126.41,17/04/2018,Sparton Corporation
300,Fairlie,Schrader,6657.7,04/07/2018,"Scripps Networks Interactive, Inc"
301,Thorpe,Limbourne,9171.61,25/09/2018,SecureWorks Corp.
302,Margaux,Cathrae,3644.71,05/11/2016,Dell Technologies Inc.
303,Reade,Votier,1915.56,18/09/2016,Hewlett Packard Enterprise Company
304,Marietta,Pressey,4916.3,16/01/2017,"Blackrock MuniHoldings Fund II, Inc."
305,Sherrie,Phillipps,2667.83,30/01/2018,"CapStar Financial Holdings, Inc."
306,David,Murrow,7254.64,14/01/2019,"Overstock.com, Inc."
307,Valentine,Deverille,9852.87,28/08/2018,CSRA Inc.
308,Sadye,Pogson,4594.14,05/09/2017,"Hudson Pacific Properties, Inc."
309,Allayne,Bradburn,5026.37,23/05/2017,Adobe Systems Incorporated
310,Jessamine,Oakenfield,1648.28,08/11/2016,"Mitcham Industries, Inc."
311,Vale,Leagas,1222.88,02/06/2016,"Galena Biopharma, Inc."
312,Lidia,Spada,1989.79,12/08/2017,Mercer International Inc.
313,Salvatore,Petrushanko,5909.39,23/04/2018,SVB Financial Group
314,Ivor,Wrighton,6009.54,22/04/2019,"Hawaiian Holdings, Inc."
315,Trix,Boggon,4094.47,21/12/2018,Iron Mountain Incorporated
316,Liv,Pierpoint,4266.54,25/10/2017,Cumulus Media Inc.
317,Terrijo,Baskett,8841.85,03/10/2018,"First Hawaiian, Inc."
318,Bentlee,Steffan,7556.92,25/09/2018,"SeaWorld Entertainment, Inc."
319,Kettie,Nealy,3961.51,05/11/2017,"Cohen & Steers Global Income Builder, Inc."
320,Jessica,Naisbit,3459.91,29/11/2018,iShares Core MSCI Total International Stock ETF
321,Artur,Godon,1286.04,12/05/2017,Delphi Automotive plc
322,Rochella,Collete,7553.45,29/04/2019,Nuveen Municipal 2021 Target Term Fund
323,Austine,Maunton,4147.31,28/05/2018,"Allied World Assurance Company Holdings, AG"
324,Lari,Rhodef,2525.04,01/02/2019,"Malvern Bancorp, Inc."
325,Gifford,Hugli,9366.62,20/12/2017,WMIH Corp.
326,Estrellita,Sollime,4812.77,25/06/2017,Acxiom Corporation
327,Dianna,Hallybone,6817.73,02/05/2017,"Digital Turbine, Inc."
328,Shelden,Freckelton,225.65,19/06/2018,National Fuel Gas Company
329,Cthrine,Brugger,8928.19,29/08/2018,"Woodward, Inc."
330,Griff,MacCaffrey,9958.94,15/10/2017,"Top Image Systems, Ltd."
331,Winthrop,Foxton,8715.1,11/02/2017,"Delek Logistics Partners, L.P."
332,Rhetta,Fullard,5180.71,18/08/2018,"Curis, Inc."
333,Gwenneth,Dulake,2045.0,06/01/2018,"H&E Equipment Services, Inc."
334,Susanne,Halfhead,204.26,27/11/2016,Nuveen Credit Strategies Income Fund
335,Alva,Perton,3612.88,09/08/2017,Altisource Portfolio Solutions S.A.
336,Rebeka,Cunio,4359.38,25/10/2018,VEREIT Inc.
337,Jessalin,Treacy,3545.4,26/04/2019,Golar LNG Limited
338,Dell,Beckford,5775.28,10/09/2017,Agree Realty Corporation
339,Samson,Bofield,4183.86,25/01/2019,"Curis, Inc."
340,Heather,Geldeford,6488.07,06/07/2017,Brookfield Renewable Partners L.P.
341,Artur,Stitcher,111.49,08/10/2017,BullMark LatAm Select Leaders ETF
342,Prinz,Ziehms,2593.01,27/08/2016,Paylocity Holding Corporation
343,Klara,Calderon,3178.1,11/06/2017,"Teladoc, Inc."
344,Faber,Bussel,9032.01,12/01/2019,"UMH Properties, Inc."
345,Beckie,Darque,6958.51,05/05/2018,"Shell Midstream Partners, L.P."
346,Kathlin,Rembrant,8585.92,22/09/2016,"Rockwell Medical, Inc."
347,Vickie,Teggart,2565.96,11/01/2017,"Micronet Enertec Technologies, Inc."
348,Zebulen,Castelain,1427.14,29/04/2019,"T-Mobile US, Inc."
349,Powell,Folkes,665.68,08/08/2017,"Juniper Pharmaceuticals, Inc."
350,Haven,Clifton,1748.26,08/02/2018,Zion Oil & Gas Inc
351,Jordanna,Ealles,9986.99,10/05/2018,"EnLink Midstream, LLC"
352,Joshia,Hardson,2791.08,31/10/2017,Ryanair Holdings plc
353,Sascha,Ketteringham,9650.86,30/09/2016,"Natural Gas Services Group, Inc."
354,Lonnard,Mathias,9943.93,13/10/2016,Calamos Global Dynamic Income Fund
355,Mort,Costelloe,4559.76,02/05/2017,PartnerRe Ltd.
356,Gabbie,Saich,857.56,06/12/2018,"STARWOOD PROPERTY TRUST, INC."
357,Nertie,Tett,6020.23,04/10/2017,iPath US Treasury 2-year Bear ETN
358,Johan,Hasker,6285.39,14/01/2018,Medley Management Inc.
359,Meade,Grcic,2913.45,22/05/2016,"GenMark Diagnostics, Inc."
360,Blakelee,Trench,6352.14,04/08/2017,Modern Media Acquisition Corp.
361,Brittaney,Ilem,8436.99,13/04/2019,"Ventas Realty, Limited Partnership // Ventas Capital Corporati"
362,Berny,Brahams,4213.68,18/04/2018,"Tenax Therapeutics, Inc."
363,Abbie,Fierman,7183.26,30/10/2018,Symantec Corporation
364,Daphne,Schollick,2486.72,11/01/2019,NVE Corporation
