Email,Order Total,Order Date
sserjeantsonay@whitehouse.gov,59.9,14-Jan-2019
cstendell50@cnbc.com,34.9,05-Mar-2019
omitcham9c@yellowbook.com,65.8,15-Aug-2018
lwanellgl@dot.gov,61.8,06-Aug-2018
blamba5@youtube.com,75.9,25-May-2018
blamba5@youtube.com,83.9,21-Oct-2018
wprobbingsdh@ft.com,36.3,08-Aug-2018
bduplain6m@rakuten.co.jp,29.3,01-Apr-2019
asinnockhy@shareasale.com,9.9,04-Mar-2019
hstrutley42@sina.com.cn,51.2,28-Jun-2018
apolettoq0@mlb.com,56.7,22-Jul-2018
ehuishmf@usda.gov,80.8,27-May-2018
snoelfs@rediff.com,16.1,15-Apr-2019
bgohierae@go.com,26.2,06-Dec-2018
bgrisardm7@typepad.com,32.1,10-Oct-2018
wbottbylg@privacy.gov.au,32.0,12-Oct-2018
ldomingues3h@ihg.com,16.9,12-Nov-2018
mvaiseyk2@wordpress.org,84.4,05-Nov-2018
cdalgardno9b@yahoo.co.jp,87.2,15-Jun-2018
pblind5d@tinyurl.com,89.3,11-Dec-2018
mjorgpy@friendfeed.com,86.9,19-May-2019
twyper4g@blogger.com,23.5,27-Nov-2018
bnapier2y@biglobe.ne.jp,16.1,03-Apr-2019
mvaggsgq@yellowpages.com,58.7,29-Jun-2018
rmarkel9n@wp.com,79.5,31-Mar-2019
efausset7z@theglobeandmail.com,31.4,03-Mar-2019
feddinsqy@about.me,41.4,28-Mar-2019
rhabin95@washingtonpost.com,55.1,19-Aug-2018
lgonetjq@uol.com.br,83.3,04-Mar-2019
jtzareg@princeton.edu,50.4,01-Jul-2018
jferronib7@vistaprint.com,97.1,11-Apr-2019
cdudderidgean@1und1.de,38.3,10-Aug-2018
schadwenbq@sphinn.com,64.2,28-Apr-2019
kholbarrow7@whitehouse.gov,86.5,18-May-2019
kcolcutt3w@phpbb.com,27.9,04-Jul-2018
cgiffing@pagesperso-orange.fr,87.2,17-Dec-2018
hspringford1n@infoseek.co.jp,63.0,21-Jul-2018
chavock70@freewebs.com,48.0,10-Mar-2019
lgatty66@mit.edu,50.5,06-Jun-2018
ewaddilow8c@ustream.tv,86.3,24-May-2018
gchalonere8@apache.org,85.0,23-Aug-2018
ehaslochof@woothemes.com,30.7,26-Mar-2019
jbrende8s@eventbrite.com,35.6,22-Jul-2018
agealhg@posterous.com,61.1,26-Oct-2018
skorneichukda@mashable.com,34.1,04-Oct-2018
dbarthel84@youku.com,78.8,08-Oct-2018
loldlandfx@senate.gov,21.5,06-Sep-2018
egosson5w@arstechnica.com,39.9,24-Jun-2018
vthundercliffe9z@ezinearticles.com,10.9,11-Jun-2018
pbakhrushkinh0@soundcloud.com,5.2,20-Mar-2019
rmarkel9n@wp.com,15.9,13-Feb-2019
zlucusg6@amazonaws.com,31.3,02-Jun-2018
lreedykk@comsenz.com,76.9,16-Aug-2018
sandellac@creativecommons.org,95.6,12-Jun-2018
agidmankv@who.int,74.7,08-Aug-2018
asenn2w@google.es,65.8,31-Aug-2018
cbenzingcs@xrea.com,3.5,09-Jun-2018
jmichelleju@squidoo.com,17.1,15-Aug-2018
ulyptritim@feedburner.com,4.8,21-Dec-2018
rmcgarahan1w@soup.io,98.3,11-Mar-2019
askittrealc7@taobao.com,97.6,03-May-2019
kbye19@who.int,88.1,03-Dec-2018
cminciek@facebook.com,10.6,29-Oct-2018
mharrhyc0@java.com,81.0,05-Feb-2019
ccholwellky@oakley.com,88.6,03-Jul-2018
gbarczynski79@51.la,33.9,12-Sep-2018
wprobbingsdh@ft.com,79.9,02-Jun-2018
bbartzennb@fema.gov,91.8,09-Jun-2018
hstrutley42@sina.com.cn,1.1,15-Aug-2018
gmcenteggart1o@epa.gov,93.7,29-Mar-2019
atiremanin@xinhuanet.com,78.8,03-Oct-2018
edayesgs@hugedomains.com,76.5,13-May-2019
rsutherdenht@amazon.co.jp,9.8,08-Sep-2018
gshutten2@ft.com,24.5,28-Nov-2018
dsuerz64@naver.com,21.0,12-Jan-2019
ftripp6k@wikispaces.com,7.1,23-Jul-2018
kduxburypz@java.com,68.5,03-Jan-2019
fohmsk1@cdbaby.com,34.3,15-May-2019
mwakerleydu@scribd.com,59.6,28-Oct-2018
imcquaide96@craigslist.org,40.7,23-Jan-2019
fblancowei3@foxnews.com,79.8,17-May-2019
gmachina5@t-online.de,69.8,28-Jan-2019
bleveridgej3@godaddy.com,48.5,08-Nov-2018
rcoxen8e@hibu.com,76.6,21-Nov-2018
ctringh1@mlb.com,8.2,16-Mar-2019
efausset7z@theglobeandmail.com,2.2,11-Sep-2018
pgothrup3p@wix.com,77.6,26-Sep-2018
alecount8v@google.co.jp,62.0,24-Sep-2018
lmonget4j@cargocollective.com,61.3,17-Jul-2018
cveyseyo8@nytimes.com,98.6,29-Jul-2018
bantoinetad@kickstarter.com,6.8,05-Jan-2019
ngyppsoe@tmall.com,38.3,20-Oct-2018
llosemanndg@ihg.com,89.0,14-May-2019
kcrimpecq@statcounter.com,7.2,22-Sep-2018
dgoodale9m@digg.com,49.3,01-Sep-2018
aheffordeh6@wiley.com,88.6,25-Nov-2018
mwebsdalebh@yellowbook.com,66.3,28-Apr-2019
lforthqw@livejournal.com,62.8,20-Oct-2018
ryashin6y@nymag.com,53.5,11-Sep-2018
sowers43@google.co.jp,55.3,08-Sep-2018
dmidlar4k@vkontakte.ru,96.3,26-Nov-2018
kfolbige1a@moonfruit.com,16.3,14-Jan-2019
elambshine44@free.fr,91.2,12-Sep-2018
mklosteri8@wufoo.com,34.2,12-Mar-2019
tfrome7b@studiopress.com,42.3,27-Jun-2018
vdonisor7@google.ru,34.4,02-Oct-2018
gervineia@ezinearticles.com,88.9,05-Mar-2019
rphelanng@sciencedaily.com,98.0,31-May-2018
rmarkel9n@wp.com,77.9,04-Feb-2019
pelloyoi@infoseek.co.jp,36.2,17-May-2019
cmorgenf5@cbc.ca,66.0,22-Jan-2019
pkehri3o@salon.com,73.0,30-Dec-2018
ctourmell20@huffingtonpost.com,11.2,24-Jul-2018
kmedlingdt@freewebs.com,56.2,08-Mar-2019
scragoe5o@g.co,93.2,05-Apr-2019
obattlestoneet@cloudflare.com,2.6,16-May-2019
lmeegannr@discovery.com,65.4,17-Nov-2018
emishawhh@ft.com,8.4,19-May-2019
fpeizer9r@scientificamerican.com,21.0,14-Jul-2018
fberntsson82@lycos.com,9.4,09-May-2019
gsanbrookb8@mlb.com,82.6,08-May-2019
cbuttonqd@tripod.com,17.1,30-Jan-2019
rshawmt@clickbank.net,29.3,25-Jun-2018
hmelbury71@cbc.ca,53.4,23-Jan-2019
jswaffieldc8@globo.com,88.0,26-Nov-2018
adeane25@twitter.com,98.0,25-Jul-2018
srishbrookh3@odnoklassniki.ru,24.6,24-Jun-2018
aosbaldstonemd@umn.edu,81.8,04-Jan-2019
iclementi9g@sciencedirect.com,31.2,12-Sep-2018
kmemmory4e@pcworld.com,73.9,21-Dec-2018
bbrockley8i@goodreads.com,90.6,16-Aug-2018
lbrogioniy@alibaba.com,65.3,07-Jul-2018
fjaquestiz@time.com,14.2,03-Nov-2018
ddimblebyg1@plala.or.jp,78.4,24-Oct-2018
ldomingues3h@ihg.com,38.9,28-Apr-2019
vferrieri36@vinaora.com,85.3,02-Nov-2018
rleving12@bbc.co.uk,71.9,29-Sep-2018
kbertsonh9@chronoengine.com,63.2,19-Jun-2018
eharborow5p@behance.net,9.6,27-Jun-2018
enacci8q@wordpress.org,74.0,14-Mar-2019
kdenish@japanpost.jp,39.3,12-May-2019
bcrossmanf0@fema.gov,32.8,06-Oct-2018
jtorres97@washingtonpost.com,32.7,21-Jan-2019
sdimentnz@alexa.com,55.7,27-Dec-2018
mzavatterob6@wikispaces.com,4.1,09-Feb-2019
rshawmt@clickbank.net,60.4,21-Feb-2019
mblasiaklk@delicious.com,90.7,02-Dec-2018
eallansoniv@usgs.gov,47.8,13-May-2019
cdalgardno9b@yahoo.co.jp,46.9,07-Jul-2018
kfolbige1a@moonfruit.com,37.8,23-Aug-2018
asauntjb@discuz.net,40.0,20-Apr-2019
rbradbornehe@soundcloud.com,32.6,10-Feb-2019
ncreboebm@bloglovin.com,77.6,13-Nov-2018
astainsonqv@ehow.com,95.0,06-Dec-2018
djaquiss7w@sphinn.com,15.5,02-Apr-2019
fbanbridgeh8@biglobe.ne.jp,93.1,10-Jul-2018
abehnked0@google.cn,3.9,23-Jun-2018
lcorhardhi@unicef.org,31.7,16-Feb-2019
cdenisevichcu@nifty.com,86.2,17-Jun-2018
tdewe0@mtv.com,93.2,24-Jul-2018
msenn65@auda.org.au,79.7,03-Apr-2019
dalesbrook2h@mlb.com,90.0,07-May-2019
aczadlaqx@sfgate.com,30.3,20-Jan-2019
gkettridge7h@yale.edu,24.2,05-Jan-2019
jtzareg@princeton.edu,27.5,08-Sep-2018
bwilkersonpd@nytimes.com,86.9,05-Oct-2018
lmonget4j@cargocollective.com,94.6,20-Jan-2019
tsanchoel@devhub.com,12.3,23-Sep-2018
crodenborcha6@disqus.com,75.8,24-Nov-2018
awhelptondv@smh.com.au,21.1,18-Sep-2018
smainepl@printfriendly.com,99.5,13-Oct-2018
ucorpes2m@usnews.com,86.9,31-Oct-2018
nedmundsonpv@biglobe.ne.jp,56.3,01-Mar-2019
lreedykk@comsenz.com,77.1,24-Jul-2018
cpreskettr3@elegantthemes.com,59.9,21-Mar-2019
tiacavoner2@xrea.com,13.8,14-Dec-2018
vswordjs@people.com.cn,30.0,25-Sep-2018
tvarlowir@zdnet.com,31.3,23-Feb-2019
treyburnmb@pbs.org,51.6,26-Oct-2018
nfearneox@linkedin.com,2.7,09-Jun-2018
rpiche4h@mysql.com,56.3,05-Nov-2018
wmatyashevko@microsoft.com,1.6,14-Nov-2018
kkharchinskicp@friendfeed.com,59.7,18-May-2019
drannellsds@scribd.com,49.9,25-Jun-2018
kgogganpc@oracle.com,92.5,24-Jun-2018
bmorstonr4@exblog.jp,83.8,21-Aug-2018
trobeirono@shutterfly.com,1.1,03-Oct-2018
poverton23@xing.com,77.4,19-Apr-2019
dreameij@freewebs.com,19.6,28-Apr-2019
dghirigoribk@cbsnews.com,80.7,06-Mar-2019
kcathesyedrl@parallels.com,60.0,02-Jun-2018
pspittall4l@nhs.uk,43.0,23-Aug-2018
lcuelaw@squarespace.com,37.4,28-Jul-2018
obattlestoneet@cloudflare.com,17.6,27-Jul-2018
oredshaw2b@newsvine.com,22.7,13-Nov-2018
jgreshamny@sciencedaily.com,27.6,11-Feb-2019
ycampagne7d@pbs.org,63.6,14-Jul-2018
dmckern4y@sfgate.com,24.4,26-Jul-2018
oashmolef3@freewebs.com,33.2,28-Oct-2018
jvonderemptenci@tiny.cc,21.4,13-Feb-2019
nwakefordap@bandcamp.com,83.6,24-Jul-2018
rnergerpn@ted.com,59.1,22-Sep-2018
fbanbridgeh8@biglobe.ne.jp,47.1,15-Feb-2019
ehaslochof@woothemes.com,23.8,12-May-2019
gmachina5@t-online.de,6.6,05-Aug-2018
rcoomberfc@netlog.com,84.9,13-May-2019
mharrhyc0@java.com,59.4,17-Sep-2018
sstothardgc@dyndns.org,79.3,15-Jan-2019
jvanarsdale2v@harvard.edu,68.6,20-Aug-2018
ghudspethha@phpbb.com,64.8,25-Nov-2018
rmeronpp@1688.com,42.6,15-Oct-2018
askully7x@noaa.gov,81.4,27-Sep-2018
loldlandfx@senate.gov,64.4,10-Feb-2019
pbubbear9f@ameblo.jp,65.3,23-Apr-2019
elabbet9u@123-reg.co.uk,6.6,04-Nov-2018
nredmellge@eepurl.com,94.3,06-Jun-2018
fburdss@netvibes.com,17.5,31-Aug-2018
eharborow5p@behance.net,66.2,10-Aug-2018
storreq6@latimes.com,89.6,14-Aug-2018
ablissett88@github.com,43.9,17-Sep-2018
lclaypoole5@youtube.com,79.5,08-Apr-2019
gtrytsmanip@pcworld.com,51.2,26-Nov-2018
mboij4n@github.com,96.7,29-Dec-2018
rumplebyom@eventbrite.com,1.1,08-Jul-2018
rboraston2s@mapy.cz,76.0,04-Jan-2019
mnorwoodpw@cnn.com,93.6,10-Jan-2019
tnarriecj@forbes.com,55.4,17-Apr-2019
aohern3i@tumblr.com,55.0,03-Aug-2018
srishbrookh3@odnoklassniki.ru,36.6,09-Oct-2018
afarlamben5@tripod.com,32.2,06-Sep-2018
djanuszmk@bravesites.com,73.2,01-Nov-2018
neassonnp@hatena.ne.jp,46.2,30-Nov-2018
tgeerebe@friendfeed.com,1.5,15-Mar-2019
ctourmell20@huffingtonpost.com,13.8,16-Dec-2018
ggodsell6j@umn.edu,52.7,13-Oct-2018
dreameij@freewebs.com,2.1,16-Dec-2018
smainepl@printfriendly.com,99.0,21-Feb-2019
hbellelli3l@alibaba.com,21.2,03-May-2019
mbatterhamg5@who.int,87.5,06-Jul-2018
mhardwinpm@privacy.gov.au,10.8,02-Dec-2018
sorwin3c@hc360.com,7.4,18-Feb-2019
kkuhnell@ted.com,18.3,11-Feb-2019
ahaddingtonea@sun.com,33.1,11-Feb-2019
dstanionx@patch.com,36.8,19-Feb-2019
gmcenteggart1o@epa.gov,76.4,10-Aug-2018
bwindbc@deviantart.com,25.8,04-May-2019
kpentlandqu@squarespace.com,27.3,12-Aug-2018
ldalglish1f@dedecms.com,69.0,05-Mar-2019
aretchlessjo@indiegogo.com,59.2,03-Dec-2018
rsutherdenht@amazon.co.jp,56.4,22-Nov-2018
ecawsbyfr@foxnews.com,61.3,04-Jan-2019
fgrahamai@slate.com,44.8,21-Nov-2018
aczadlaqx@sfgate.com,6.0,15-May-2019
amebiusbj@spiegel.de,3.1,19-Dec-2018
parnoud5i@vk.com,81.1,04-Sep-2018
agibbonsgu@tamu.edu,6.5,07-Feb-2019
rarundelli4@netvibes.com,67.4,31-May-2018
cparrame@craigslist.org,29.0,30-May-2018
rpiche4h@mysql.com,46.2,14-Oct-2018
ogiovanazziu@nba.com,74.6,18-Jul-2018
mphinnessyl0@cafepress.com,18.6,12-Nov-2018
rlanceley8j@unc.edu,43.0,22-Mar-2019
eeaton16@soup.io,85.5,24-Jun-2018
rmeronpp@1688.com,30.0,22-May-2019
flindstedt1@intel.com,90.9,30-Sep-2018
ejeremiahls@arizona.edu,45.0,10-Jul-2018
pelloyoi@infoseek.co.jp,14.9,18-Jan-2019
fbernettiov@posterous.com,24.2,20-Jun-2018
lygo2o@buzzfeed.com,50.5,19-Oct-2018
cfreemantleou@oaic.gov.au,51.1,22-Feb-2019
dreameij@freewebs.com,79.5,20-Oct-2018
arutgers55@hexun.com,27.4,16-Nov-2018
kkitchingmanhx@wsj.com,45.3,28-Nov-2018
ahollyardot@multiply.com,13.6,22-Dec-2018
btirreyv@geocities.com,83.0,17-Jul-2018
rdoyleb3@paginegialle.it,82.0,09-Oct-2018
tvickermangp@blogspot.com,20.3,16-May-2019
xhamelynq4@cpanel.net,52.5,29-Apr-2019
cgossan9l@umn.edu,53.8,11-Jun-2018
dblesdillg4@paginegialle.it,56.6,03-Sep-2018
edayesgs@hugedomains.com,93.9,24-Sep-2018
mvancastelel6@surveymonkey.com,20.1,01-Apr-2019
bgrisardm7@typepad.com,5.0,26-May-2018
lbraizier1s@ft.com,88.3,06-Jul-2018
cellam8@blog.com,39.4,29-Aug-2018
vshowtms@seesaa.net,7.4,13-Sep-2018
bfallsq3@ucla.edu,44.0,04-Oct-2018
rpiche4h@mysql.com,6.1,11-Jan-2019
fohmsk1@cdbaby.com,59.6,16-Nov-2018
tmershn1@nyu.edu,87.0,25-Jun-2018
rnergerpn@ted.com,15.6,05-Apr-2019
lkamallo4@webmd.com,54.8,14-Feb-2019
flindstedt1@intel.com,45.4,30-Nov-2018
fandrys63@usatoday.com,58.9,24-Aug-2018
zdraiseykn@cnet.com,48.4,07-Jun-2018
eeaton16@soup.io,32.6,11-Jul-2018
nfearneox@linkedin.com,85.6,02-Jan-2019
ijenkingrb@ft.com,84.6,19-Nov-2018
ewardroperg0@macromedia.com,7.0,23-Jan-2019
kopenshawbl@fc2.com,19.3,06-Apr-2019
clewinsdn@geocities.jp,7.6,10-Dec-2018
otilston6u@lulu.com,1.2,23-Sep-2018
mcornilskl@amazon.co.uk,84.1,14-Apr-2019
mlanninps@youtube.com,44.5,28-Nov-2018
ncreboebm@bloglovin.com,40.0,25-Jan-2019
edayesgs@hugedomains.com,92.7,15-Apr-2019
ebrodnecke1h@about.me,19.1,06-Nov-2018
iaslen4@tripod.com,24.9,07-May-2019
mclifforth9y@ca.gov,67.4,02-Mar-2019
vteasell3f@jugem.jp,93.1,15-Oct-2018
ashimmansat@acquirethisname.com,10.1,09-Jun-2018
ablissett88@github.com,3.6,17-Mar-2019
cgent52@ocn.ne.jp,73.1,07-Jul-2018
adhillonnm@opera.com,50.2,26-Feb-2019
dshewan3y@guardian.co.uk,45.8,24-Aug-2018
rsutherdenht@amazon.co.jp,62.1,20-Jul-2018
feddinsqy@about.me,61.9,19-Oct-2018
ssweetdy@so-net.ne.jp,34.2,05-Feb-2019
lgillmor4v@blinklist.com,96.5,27-Nov-2018
mcowans1z@surveymonkey.com,47.4,27-Sep-2018
lrubinowiczmn@over-blog.com,88.7,21-Feb-2019
jswaffieldc8@globo.com,20.8,25-Jul-2018
dmorinma@epa.gov,21.1,08-Nov-2018
lreedykk@comsenz.com,68.9,10-Aug-2018
mclabburnd@guardian.co.uk,50.9,30-Apr-2019
epenbarthypt@hc360.com,17.2,17-Jun-2018
mpatek1d@mozilla.com,38.4,14-Sep-2018
csouthwoodd4@prnewswire.com,34.7,28-Mar-2019
bbrockley8i@goodreads.com,50.6,03-Aug-2018
rfarnin9v@comcast.net,58.7,05-Oct-2018
sbassetl9@economist.com,11.6,27-Apr-2019
lmacswaydede@arstechnica.com,72.3,22-Mar-2019
ckelstonop@symantec.com,77.9,21-Jul-2018
parnoud5i@vk.com,36.2,25-May-2018
ibastoni@marketwatch.com,88.4,24-Aug-2018
asimysonns@sohu.com,24.9,15-Dec-2018
fmaccaughenm8@unesco.org,32.3,12-Apr-2019
ssapsonpe@soup.io,4.6,24-Jan-2019
hasplingr0@mysql.com,31.4,03-Oct-2018
wrangall38@ca.gov,84.7,12-Aug-2018
dhowle8p@nih.gov,12.9,09-Jun-2018
pbubbear9f@ameblo.jp,38.4,30-Jul-2018
cmckoy47@tmall.com,42.4,06-Jul-2018
rboraston2s@mapy.cz,63.3,26-Jul-2018
tdewitt6p@vk.com,60.4,18-Jun-2018
tbyffordp8@gov.uk,26.8,05-Feb-2019
aqueenfn@acquirethisname.com,90.8,30-Apr-2019
grymouri7@cocolog-nifty.com,42.2,13-May-2019
rbradbornehe@soundcloud.com,98.7,04-Jun-2018
dstanionx@patch.com,46.1,11-Aug-2018
cchessil8b@sitemeter.com,93.1,16-Jan-2019
dsconcepa@shop-pro.jp,18.2,20-Jun-2018
tbyffordp8@gov.uk,48.0,23-Jan-2019
kbozieres@lycos.com,8.1,12-Mar-2019
cbuttonqd@tripod.com,81.6,12-Sep-2018
krawsthorn8o@tripod.com,49.1,22-Feb-2019
bbewlaypg@shinystat.com,51.6,16-Jul-2018
acoppockca@pinterest.com,10.9,02-Jul-2018
abrawnah@geocities.jp,4.0,05-Mar-2019
kgogganpc@oracle.com,45.2,09-Dec-2018
bcheatlepx@canalblog.com,90.1,12-Nov-2018
rperotti6o@simplemachines.org,88.9,22-Apr-2019
aqueenfn@acquirethisname.com,51.8,18-Sep-2018
djaquiss7w@sphinn.com,60.2,17-May-2019
csinclaire9@cmu.edu,53.4,28-May-2018
sluff1g@hibu.com,62.8,27-Dec-2018
mnorwoodpw@cnn.com,21.9,20-Jun-2018
dpenddrethm1@de.vu,86.2,15-Dec-2018
cduffus3b@com.com,18.2,10-Jun-2018
ploverock8n@nhs.uk,59.4,28-Sep-2018
cpenvardenml@theguardian.com,55.8,21-Aug-2018
rfarnin9v@comcast.net,1.9,30-Aug-2018
bbewlaypg@shinystat.com,60.9,02-Mar-2019
tstrowther8x@sourceforge.net,8.1,12-Jan-2019
pshorten1k@qq.com,50.7,19-Mar-2019
tbyffordp8@gov.uk,23.3,24-Nov-2018
tenzley6w@wisc.edu,97.1,18-Feb-2019
kcrimpecq@statcounter.com,89.0,21-Apr-2019
slangmuira9@last.fm,45.6,07-Mar-2019
flindstedt1@intel.com,85.6,28-Jan-2019
mbansteadqa@yahoo.com,85.6,29-Jun-2018
smaccoughenme@gizmodo.com,72.9,22-Mar-2019
mjanczewski5y@wiley.com,47.3,09-Oct-2018
wmasedonct@privacy.gov.au,71.2,01-Oct-2018
yslymep6@globo.com,97.8,05-Feb-2019
dscaliabf@jugem.jp,31.3,21-May-2019
arookesbyn0@facebook.com,58.5,31-Jul-2018
kkitchingmanhx@wsj.com,46.7,16-Feb-2019
bwilkersonpd@nytimes.com,14.4,10-Mar-2019
narberic@google.fr,80.1,23-Jan-2019
nharteganr9@webeden.co.uk,33.2,05-Nov-2018
jtorres97@washingtonpost.com,91.4,04-May-2019
rboraston2s@mapy.cz,60.5,06-Jul-2018
ejonson73@cdc.gov,72.2,19-Nov-2018
elafeejg@paginegialle.it,7.7,14-Apr-2019
ebrodnecke1h@about.me,52.6,19-Jul-2018
rcoomberfc@netlog.com,50.6,10-Aug-2018
sdimentnz@alexa.com,46.4,09-Jul-2018
kcathesyedrl@parallels.com,29.1,12-May-2019
chaycocklj@about.me,16.6,09-Feb-2019
rleving12@bbc.co.uk,63.1,28-Jan-2019
lbrogioniy@alibaba.com,37.5,15-Sep-2018
iaslen4@tripod.com,81.5,31-Oct-2018
asimysonns@sohu.com,83.6,21-Jan-2019
gburrassnw@google.fr,13.8,03-Sep-2018
amaffeigm@ucsd.edu,24.7,10-Jun-2018
rbollino9@army.mil,73.4,07-Aug-2018
ngyppsoe@tmall.com,15.7,08-Mar-2019
askully7x@noaa.gov,38.9,10-Jan-2019
rcoomberfc@netlog.com,81.6,05-Jul-2018
dfonzonepf@instagram.com,87.9,23-Aug-2018
mcutting6e@tmall.com,9.5,03-Sep-2018
cdenisevichcu@nifty.com,27.9,20-Mar-2019
mhuke2l@yale.edu,73.7,19-Feb-2019
svausek6@cargocollective.com,26.1,10-Feb-2019
ffeldmarkc2@weebly.com,44.1,05-Jul-2018
kmedlingdt@freewebs.com,45.1,09-Sep-2018
lgaizeg9@photobucket.com,49.7,20-Apr-2019
tcastelainki@zimbio.com,17.6,23-Jul-2018
fraynormc@altervista.org,61.0,08-Jul-2018
lobradainaq@admin.ch,34.7,08-Dec-2018
cdalgardno9b@yahoo.co.jp,67.9,05-Jun-2018
fbowiekg@earthlink.net,85.7,08-Dec-2018
fgorewayrk@ameblo.jp,55.5,13-Jun-2018
pspittall4l@nhs.uk,31.0,26-Sep-2018
gchalonere8@apache.org,60.9,24-Sep-2018
tfrome7b@studiopress.com,52.4,14-Nov-2018
narberic@google.fr,56.5,24-Oct-2018
ttramell3@skype.com,65.8,02-Jul-2018
